Infra.Class,Order,Family,Common.name,Species,Synonym.,X2n
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Bambusicola thoracicus,Lophortyx gambelii,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Centrocercus urophasianus,Lophortyx gambelii,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Chrysolophus amherstiae,Lophortyx gambelii,70
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Chrysolophus pictus,Lophortyx gambelii,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Coturnix coturnix,Lophortyx gambelii,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Coturnix japonica,Lophortyx gambelii,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Excalfactoria chinensis,Coturnix chinensis,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Francolinus pintadeanus,Coturnix chinensis,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Francolinus pondicerianus,Coturnix chinensis,66
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Gallus gallus,Coturnix chinensis,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Lophura edwardsi,Coturnix chinensis,50
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Lophura imperialis,Coturnix chinensis,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Lophura nycthemera,Coturnix chinensis,80
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Lophura swinhoii,Coturnix chinensis,82
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Meleagris gallopavo,Coturnix chinensis,80
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Pavo cristatus,Coturnix chinensis,78
NEOGNATHAE,GALLIFORMES,Phasianidae,Pheasants and allies,Pavo muticus,Coturnix chinensis,78
