Higher taxonomic group,Order,Family,Genus,species,female2n,male2n,"Predicted ploidy (1,2,3,4)",Sexual.system,sex.chromosome.system,"notes, comments"
Mammalia,Marsupialia,Didelphidae,Marmosa,robinsoni,14,14,,gonochorous,XY,
Mammalia,Marsupialia,Didelphidae,Monodelphis,brevicaudata,18,18,,gonochorous,XY,
Mammalia,Marsupialia,Didelphidae,Philander,opossum,22,22,,gonochorous,XY,
Mammalia,Marsupialia,Macropodidae,Macropus,rufus,20,20,,gonochorous,XY,
Mammalia,Marsupialia,Macropodidae,Wallabia ,eugenii,16,16,,gonochorous,XY,
Mammalia,Marsupialia,Perameloidea,Perameles,nasuta,14,14,,gonochorous,XY,
Mammalia,Marsupialia,Phalangeridae,Trichosurus ,vulpecula,20,20,,gonochorous,XY,
Mammalia,Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,52,52,,gonochorous,complex XY,X1X2X3X4X5Y1Y2Y3Y4Y5
Mammalia,Monotremata,Tachyglossidae,Tachyglossus,aculeatus,64,63,,gonochorous,complex XY,X1X2X3X4X5Y1Y2Y3Y4
Mammalia,Perissodactyla,Equidae,Eqqus,asinus,62,62,,gonochorous,XY,
Mammalia,Perissodactyla,Equidae,Eqqus,caballus,64,64,,gonochorous,XY,
Mammalia,Perissodactyla,Equidae,Eqqus,grevyi,46,46,,gonochorous,XY,
Mammalia,Perissodactyla,Equidae,Eqqus,prewalskii,66,66,,gonochorous,XY,
Mammalia,Perissodactyla,Equidae,Eqqus,zebra,32,32,,gonochorous,XY,
Mammalia,Perissodactyla,Equidae,Eqqus ,prewalskii,44,44,,gonochorous,XY,
Mammalia,Perissodactyla,Equidae,Equus,hemionus onager,56,56,,gonochorous,XY,
Mammalia,Perissodactyla,Rhinocerotidae,Ceratotherium,simum,82,82,,gonochorous,XY,
Mammalia,Perissodactyla,Rhinocerotidae,Rhinoceros,unicornis,82,82,,gonochorous,XY,
Mammalia,Perissodactyla,Tapiridae,Tapirus ,terrestris,80,80,,gonochorous,XY,
Mammalia,Pilosa,Megalonychidae,Choloepus,hoffmanni,49,49,,gonochorous,complex XY,X1X2Y
Mammalia,Carnivora,Otariidae,Eumetopias,jubata,36,36,,gonochorous,XY,
Mammalia,Carnivora,Otariidae,Zalophus,californianus,36,36,,gonochorous,XY,
Mammalia,Carnivora,Otariidae,Callorhinus ,ursinus,36,36,,gonochorous,XY,
Mammalia,Carnivora,Phocidae,Cystophora,cristata,34,34,,gonochorous,XY,
Mammalia,Carnivora,Phocidae,Erignathus,barbatus,34,34,,gonochorous,XY,
Mammalia,Carnivora,Phocidae,Halichoerus,grypus,32,32,,gonochorous,XY,
Mammalia,Carnivora,Phocidae,Pagophilus,groenlandicus,32,32,,gonochorous,XY,
Mammalia,Carnivora,Phocidae,Phoca,vitulina,32,32,,gonochorous,XY,
Mammalia,Carnivora,Phocidae,Pusa,hispida,32,32,,gonochorous,XY,
Mammalia,Proboscidea,Elephantidae,Elephas,maximus,56,56,,gonochorous,XY,
Mammalia,Proboscidea,Elephantidae,Loxodonta,africana,56,56,,gonochorous,XY,
Mammalia,Primates,Aotidae,Aotus,azarae,50,49,,gonochorous,complex XY,X1X2Y
Mammalia,Primates,Aotidae,Aotus,boliviensis,50,49,,gonochorous,complex XY,X1X2Y
Mammalia,Primates,Aotidae,Aotus,inflatus,50,49,,gonochorous,complex XY,X1X2Y
Mammalia,Primates,Aotidae,Aotus,sp.,50,49,,gonochorous,complex XY,X1X2Y
Mammalia,Primates,Aotidae,Aotus,trivirgatus,54,54,,gonochorous,XY,
Mammalia,Primates,Atelidae,Alouatta,belzebul,50,49,,gonochorous,complex XY,X1X2Y
Mammalia,Primates,Atelidae,Alouatta,fusca,50,49,,gonochorous,complex XY,X1X2Y
Mammalia,Primates,Atelidae,Alouatta,palliata,54,53,,gonochorous,complex XY,X1X2Y
Mammalia,Primates,Callithricidae,Tamarinus ,mystax,46,46,,gonochorous,XY,
Mammalia,Primates,Callithricidae,Tamarinus ,nigricollis,46,46,,gonochorous,XY,
Mammalia,Primates,Callitrichidae,Callimico,goeldii,48,47,,gonochorous,complex XY,X1X2Y
Mammalia,Primates,Callitrichidae,Callithrix,argentata,44,44,,gonochorous,XY,
Mammalia,Primates,Callitrichidae,Callithrix,humeralifer,46,46,,gonochorous,XY,
Mammalia,Primates,Callitrichidae,Callithrix,jacchus,46,46,,gonochorous,XY,
Mammalia,Primates,Callitrichidae,Callithrix,pygmaea,44,44,,gonochorous,XY,
Mammalia,Primates,Callitrichidae,Leontopithecus,rosalia,46,46,,gonochorous,XY,
Mammalia,Primates,Callitrichidae,Saguinus,fusicollis,46,46,,gonochorous,XY,
Mammalia,Primates,Callitrichidae,Saguinus,oedipus,46,46,,gonochorous,XY,
Mammalia,Primates,Cebidae,Ateles,geoffroyi,34,34,,gonochorous,XY,
Mammalia,Primates,Cebidae,Cebus ,albifrons,54,54,,gonochorous,XY,
Mammalia,Primates,Cebidae,Lagothrix ,ubericolor,62,62,,gonochorous,XY,
Mammalia,Primates,Cebidae,Saimiri,sciureus,44,44,,gonochorous,XY,
Mammalia,Primates,Cercopithecidae,Allenopithecus ,nigroviridis,48,48,,gonochorous,XY,
Mammalia,Primates,Cercopithecidae,Cercopithecus ,ascanius,66,66,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Cercocebus,torquatus,42,42,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Cercopithecus,aethiops,60,60,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Cercopithecus,talapoin,54,54,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Cercopithecus ,cephus,66,66,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Erythrocebus,patas,54,54,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Maccaca,fascicularis,42,42,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Maccaca,mulatta,42,42,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Nasalis,larvatus,48,48,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Papio,papio,42,42,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Presbytis,entellus,44,44,,gonochorous,XY,
Mammalia,Primates,Cercopithecoidae,Presbytis,obscurus,44,44,,gonochorous,XY,
Mammalia,Primates,Colobidae,Prebytis ,cristatus,44,44,,gonochorous,XY,
Mammalia,Primates,Colobidae,Pygathrix ,nemaeus,44,44,,gonochorous,XY,
Mammalia,Primates,Galagonidae,Galago,alleni,40,40,,gonochorous,XY,
Mammalia,Primates,Galagonidae,Galago,demidovii,58,58,,gonochorous,XY,
Mammalia,Primates,Galagonidae,Galago ,crassicaudatus monteiri,62,62,,gonochorous,XY,
Mammalia,Primates,Hominidae,Gorilla,gorilla,48,48,,gonochorous,XY,
Mammalia,Primates,Hominidae,Homo,sapiens,46,46,,gonochorous,XY,
