Order,Family,Genus,species,Karyotype,notes..Karyotype,Chromosome.number..female..2N,Chromosome.number..male..2N,notes..comments
Coleoptera,Curculionidae,Pissodes,similis utahensis    ,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,affinis,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,affinis curriei    ,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,approximatus,,,NA,32,
Coleoptera,Curculionidae,Pissodes,approximatus canadensis    ,,,NA,32,
Coleoptera,Curculionidae,Pissodes,dubius,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,dubius fraseri    ,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,dubius piperi    ,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,fasciatus,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,fiskei,XY,Xyp,24,25,XYp III+10 haploid
Coleoptera,Curculionidae,Pissodes,gyllenhali,XY,Xyp,32,32,
Coleoptera,Curculionidae,Pissodes,memorensis,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,nitidus,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,notatus,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,obscurus,XY,Xyp,28,28,
Coleoptera,Curculionidae,Pissodes,OP27O,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,OYT3O,XY,Xyp,34,34,
Coleoptera,Curculionidae,Pissodes,radiatae,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,rotundatus,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,rotundatus alascensis    ,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,rotundatus nigrae    ,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,schwarzi,XY,Xyp,28,28,
Coleoptera,Curculionidae,Pissodes,schwarzi yosemite    ,XY,Xyp,28,28,
Coleoptera,Curculionidae,Pissodes,similis,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,strobi,XY,Xyp,34,34,
Coleoptera,Curculionidae,Pissodes,strobi engelmanni    ,XY,Xyp,34,34,
Coleoptera,Curculionidae,Pissodes,strobi sitchensis    ,XY,Xyp,34,34,
Coleoptera,Curculionidae,Pissodes,terminalis,XY,Xyp,28,29,XYp III+12 haploid
Coleoptera,Curculionidae,Pissodes,validirostris,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pissodes,webbi,XY,Xyp,34,34,
Coleoptera,Curculionidae,Platymycterus,sjostedti,XY,Xyp,22,22,
Coleoptera,Curculionidae,Platymycterus,himalayanus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Platymycterus,moestus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Platymycterus,sp.,XY,Xyp,22,22,
Coleoptera,Curculionidae,Plintini,sp. 1    ,XY,Xyp,22,22,
Coleoptera,Curculionidae,Podapion,gallicola,XY,Xyp,22,22,
Coleoptera,Curculionidae,Podeschrus,abietis,XY,Xyp,22,22,
Coleoptera,Curculionidae,Polydrusus,atomarius,XY,Xyp,22,22,
Coleoptera,Curculionidae,Polydrusus,calabricus,XY,Xyp,20,20,
Coleoptera,Curculionidae,Polydrusus,marginatus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Polydrusus,ruficornis,XY,Xyp,22,22,
Coleoptera,Curculionidae,Polydrusus,sericeus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Polydrusus,sicanus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Polydrusus,viridicintus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Polydrusus,mollis,,,NA,NA,
Coleoptera,Curculionidae,Polydrusus,amoenus,,,NA,22,
Coleoptera,Curculionidae,Polydrusus,impressifrons,,,NA,20,
Coleoptera,Curculionidae,Polydrusus,pilosus,XY,,22,22,
Coleoptera,Curculionidae,Polydrusus,undatus,,,22,NA,
Coleoptera,Curculionidae,Procas,biguttatus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Procas,biguttatus,XY,Xyp,24,24,
Coleoptera,Curculionidae,Proctorus,decipiens,,,NA,22,
Coleoptera,Curculionidae,Protacallinus,sp. 1    ,XY,Xyp,30,30,
Coleoptera,Curculionidae,Pseudoanthonomus,hamamelidis,XY,Xyp,38,38,
Coleoptera,Curculionidae,Pseudoanthonomus,hamamelidis,XY,,32,32,
Coleoptera,Curculionidae,Pseudphytoscaphus,sp. 1    ,XY,Xyp,22,22,
Coleoptera,Curculionidae,Ptochus,oyulum,XY,Xyp,22,22,
Coleoptera,Curculionidae,Pycnodactylus,hypocritia,,,NA,38,
Coleoptera,Curculionidae,Rhadinomerus,annulipes,XY,Xyp,34,34,
Coleoptera,Curculionidae,Rhadinomerus,annulipes,XY,Xyp,36,36,
Coleoptera,Curculionidae,Rhadinomerus,maebarai,XY,Xyp,44,44,
Coleoptera,Curculionidae,Rhinocerus,sp. 1    ,XY,Xyp,20,20,
Coleoptera,Curculionidae,Rhinomias,forticornis,XY,Xyp,22,22,
Coleoptera,Curculionidae,Rhinoncus,pagnus,XY,Xyp,20,20,
Coleoptera,Curculionidae,Rhinoncus,sibiricus,XY,Xyp,28,28,
Coleoptera,Curculionidae,Rhynchaenus,stigma,XY,Xyp,28,28,
Coleoptera,Curculionidae,Rhynchaenus,mutabilis,XY,,24,24,
Coleoptera,Curculionidae,Rhynchaenus,niger,XY,,28,28,
Coleoptera,Curculionidae,Rhynchaenus,pallicornis,XY,,28,28,
Coleoptera,Curculionidae,Rhynchaenus,pallicornis,,,NA,26,
Coleoptera,Curculionidae,Rhynchaenus,populi,XY,Xyp,26,26,
Coleoptera,Curculionidae,Rhynchaenus,sp. 1    ,XO,,26,25,
Coleoptera,Curculionidae,Rhynchophorus,ferrugineus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Rhyssomatus,marginatus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Rhyssomatus,marginatus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Ruteria,hypocrita,XY,Xyp,30,30,
Coleoptera,Curculionidae,Rynchophorus,palmarum,XY,Xyp,22,22,
Coleoptera,Curculionidae,Ryssematus,lineaticollis,XY,Xyp,24,24,
Coleoptera,Curculionidae,Scepticus,griseus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Scepticus,insularis,XY,Xyp,22,22,
Coleoptera,Curculionidae,Scepticus,insularis,complex XY,Xyyp  ,NA,23,Xyyp
Coleoptera,Curculionidae,Scepticus,tigrinus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sciaphilus,asperatus,,,NA,NA,bisexual
Coleoptera,Curculionidae,Scythropus,japonicus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Scythropus,ornatus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Scythropus,sp. 1    ,XY,Xyp,20,20,
Coleoptera,Curculionidae,Shirahoshizo,insidiosus,XY,Xyp,38,38,
Coleoptera,Curculionidae,Simulatacalles,simulator,XY,Xyp,24,24,
Coleoptera,Curculionidae,Sipalus,hypocrita,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,crinitus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,humeralis,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,lineatus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,macularis,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,suturalis,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,cylindricollis,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,flavescens,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,hispidulus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,lepidus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,lineata,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,scissifrons,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,sp. 1    ,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sitona,sp. 1    ,XY,Xyp,24,24,
Coleoptera,Curculionidae,Sitona,sp. 1    ,XY,Xyp,26,26,
Coleoptera,Curculionidae,Sitophilus,oryzae,XO,,12,11,
Coleoptera,Curculionidae,Sitophilus,granarius,XY,Xyp,24,24,
Coleoptera,Curculionidae,Sitophilus,granarius,,,12,NA,
Coleoptera,Curculionidae,Sitophilus,oryzae,XY,NeoXY  ,22,22,NeoXY
Coleoptera,Curculionidae,Sitophilus,oryzae,XY,,22,22,
Coleoptera,Curculionidae,Sitophilus,sasakii,XY,,22,22,
Coleoptera,Curculionidae,Sitophilus,zeamais,XY,NeoXY,22,22,NeoXY B chromosomes
Coleoptera,Curculionidae,Sitophilus,zeamais,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sphenophorus,parvula,XY,Xyp,30,30,
Coleoptera,Curculionidae,Strophosoma,capitatum,XY,,22,22,
Coleoptera,Curculionidae,Strophosoma,faber,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sympiezomias,cribricollis,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sympiezomias,cribicollis,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sympiezomias,lewisii,XY,Xyp,22,22,
Coleoptera,Curculionidae,Sympiezomias,sp. 1    ,XY,,22,22,
Coleoptera,Curculionidae,Syrotelus,septentrionalis,,,NA,16,
Coleoptera,Curculionidae,Syrotelus,umbrosus,XY,Xyp,16,16,
Coleoptera,Curculionidae,Tachypterellus,4-gibbus,XY,Xyp,34,34,
Coleoptera,Curculionidae,Tanymecus,hispidus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Tanymecus,cephalotes,XY,Xyp,22,22,
Coleoptera,Curculionidae,Tanymecus,feae,,,NA,22,
Coleoptera,Curculionidae,Tanymecus,indicus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Tanymecus,longulus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Tanymecus,palliatus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Tanymecus,sciurus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Tanymecus,sciurus,complex XY,Xyyp  ,NA,23,Xyyp
Coleoptera,Curculionidae,Tanymecus,sp. 1    ,XY,Xyp,22,22,
Coleoptera,Curculionidae,Tanysphyrus,lemnae,XY,Xyp,16,16,
Coleoptera,Curculionidae,Tanysphyrus,lemnae,XY,Xyp,18,18,
Coleoptera,Curculionidae,Tanysphyrus,major,XY,Xyp,16,16,
Coleoptera,Curculionidae,Telephae,konoi,XY,Xyp,22,22,
Coleoptera,Curculionidae,Telephae,konoi,XY,Xyp,26,26,
Coleoptera,Curculionidae,Thlipsomerus,glebosus,XY,Xyp,22,22,
Coleoptera,Curculionidae,Transptochus,sp.,XY,Xyp,22,22,
Coleoptera,Curculionidae,Trichalophus,albonotatus,XY,NeoXY  ,28,28,NeoXY
Coleoptera,Curculionidae,Tychius,aureolus femoralis    ,XY,Xyp,40,40,
Coleoptera,Curculionidae,Tychius,ginsuji,XY,Xyp,34,34,
Coleoptera,Curculionidae,Tychius,sp. 1    ,XY,Xyp,34,34,
Coleoptera,Curculionidae,Tychius,stephensi,XY,Xyp,40,40,
Coleoptera,Curculionidae,Tylotus,chrysops as O. chrysops  ,,,NA,22,
Coleoptera,Curculionidae,Xanium,vanhoeffenianum,XY,Xyp,22,22,
Coleoptera,Curculionidae,Xanthochelus,sp.,XY,Xyp,22,22,
Coleoptera,Curculionidae,Zacladus,geranii,XY,Xyp,28,28,
Coleoptera,Dermestidae,Anthrenus,fasciatus,XY,Xyp,18,18,
Coleoptera,Dermestidae,Anthrenus,flavipes,XY,Xyp,18,18,
Coleoptera,Dermestidae,Anthrenus,sp.,XY,Xyp,18,18,
Coleoptera,Dermestidae,Anthrenus,verbasci,XY,Xyp,18,18,
Coleoptera,Dermestidae,Attagenus,elongatulus,XY,Xyp,18,18,
Coleoptera,Dermestidae,Attagenus,megatoma,XY,Xyp,18,18,
Coleoptera,Dermestidae,Dermestes,ater,XY,Xyp,18,18,
Coleoptera,Dermestidae,Dermestes,caninus,XY,Xyp,18,18,
Coleoptera,Dermestidae,Dermestes,frischii,XY,Xyp,18,18,
Coleoptera,Dermestidae,Dermestes,frischii,complex XY,Xyyp  ,NA,19,Xyyp
Coleoptera,Dermestidae,Dermestes,haemorrhoidalis,XY,Xyp,18,18,
Coleoptera,Dermestidae,Dermestes,lardarius,XY,Xyp,18,18,
Coleoptera,Dermestidae,Dermestes,maculatus,XY,Xyp,18,18,
Coleoptera,Dermestidae,Dermestes,maculatus,XY,Xyp,18,18,Xyp 1-4 y chromosomes
Coleoptera,Dermestidae,Dermestes,peruvianus,XY,Xyp,18,18,
Coleoptera,Dermestidae,Dermestes,talpinus,XY,Xyp,18,18,
Coleoptera,Dermestidae,Dermestes,vulpinus,XY,Xyp,18,18,
Coleoptera,Dermestidae,Dermests,signatus,XY,Xyp,18,18,
Coleoptera,Dermestidae,Orphilus,subnitidus,XY,Xyp,20,20,
Coleoptera,Dermestidae,Trogoderma,glabrum,XY,Xyp,18,18,
Coleoptera,Dermestidae,Trogoderma,glabrum,XY,Xyp,20,20,
Coleoptera,Dermestidae,Trogoderma,inclusum,XY,Xyp,18,18,
Coleoptera,Dermestidae,Trogoderma,parabile,XY,Xyp,18,18,
Coleoptera,Dermestidae,Trogoderma,parabile,XY,Xyp,20,20,
Coleoptera,Dermestidae,Trogoderma,variabile,XY,Xyp,18,18,
Coleoptera,Dytiscidae,Agabus,biguttatus ,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,adpressus,XY,,44,44,
Coleoptera,Dytiscidae,Agabus,affinis,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,binotatus,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,bipustulatus var. solieri,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,confinis,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,congener,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,infuscatus,XY,NeoXy,44,44,
Coleoptera,Dytiscidae,Agabus,labiatus,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,lapponicus,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,melanarius,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,nebulosus,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,nevadensis,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,ramblae,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,serricornis,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,thomsoni,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,unguicularis,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,wollastoni,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,bipustulatus ,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,confinis ,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,conspersus ,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,ramblae ,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,sturmi ,XO,,44,43,
Coleoptera,Dytiscidae,Agabus,bipustulatus ,XY,Xyp,42,42,Xyp Subsequent studies failed to replicate
Coleoptera,Dytiscidae,Agabus,confinis ,XY,,42,42,
Coleoptera,Dytiscidae,Agabus,conspersus ,XY,,40,40,material studied was from India and likely is a different species
Coleoptera,Dytiscidae,Agabus,sturmi ,XY,Xyp,42,42,Xyp Subsequent studies failed to replicate
Coleoptera,Dytiscidae,Boreonectes,alpestris ,XO,,56,55,
Coleoptera,Dytiscidae,Boreonectes,griseostriatus ,XO,,62,61,
Coleoptera,Dytiscidae,Boreonectes,ibericus ,XO,,54,53,
Coleoptera,Dytiscidae,Boreonectes,macedonicus,XO,,54,53,
Coleoptera,Dytiscidae,Boreonectes,multilineatus ,XO,,58,57,
Coleoptera,Dytiscidae,Boreonectes,riberae ,XO,,56,55,
Coleoptera,Dytiscidae,Boreonectes,emmerichi,XO,XO,54,53,
Coleoptera,Dytiscidae,Boreonectes,griseostriatus griseostriatus,XO,XO,62,61,
Coleoptera,Dytiscidae,Boreonectes,griseostriatus strandi,XO,XO,62,61,
Coleoptera,Dytiscidae,Colymbetes,piceus ,XO,,42,41,
Coleoptera,Dytiscidae,Colymbetes,adpressus,XY,,44,44,
Coleoptera,Dytiscidae,Colymbetes,affinis,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,biguttatus,XO,,44,43,reported as 22 in text likely a misprint
Coleoptera,Dytiscidae,Colymbetes,binotatus,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,bipustulatus,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,bipustulatus var. solieri,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,confinis,,,44,NA,only females examined
Coleoptera,Dytiscidae,Colymbetes,congener,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,conspersus,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,fuscus,XO,,42,41,
Coleoptera,Dytiscidae,Colymbetes,infuscatus,XY,NeoXY,44,44,neo XY
Coleoptera,Dytiscidae,Colymbetes,labiatus,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,lapponicus,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,melanarius,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,nebulosus,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,nevadensis,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,paykulli,XO,,42,41,
Coleoptera,Dytiscidae,Colymbetes,ramblae,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,serricornis,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,striatus,XO,,42,41,
Coleoptera,Dytiscidae,Colymbetes,sturmii,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,thomsoni,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,unguicularis,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,wollastoni,XO,,44,43,
Coleoptera,Dytiscidae,Colymbetes,fuscus ,,,NA,36,
Coleoptera,Dytiscidae,Colymbetes,paykulli ,XY,Xyp,36,36,Xyp Subsequent studies failed to replicate
Coleoptera,Dytiscidae,Colymbetes,paykulli ,XO,,38,37,
Coleoptera,Dytiscidae,Colymbetes,striatus ,XY,,40,40,
Coleoptera,Dytiscidae,Colymbetes,striatus ,XY,,42,42,
Coleoptera,Dytiscidae,Colymbetes,striatus ,XY,,44,44,
Coleoptera,Dytiscidae,Cybister,sugillatus,XO,,38,37,
Coleoptera,Dytiscidae,Cybister,tripunctatus,XO,,38,37,
Coleoptera,Dytiscidae,Cybister,ventralis,XY,,18,18,
Coleoptera,Dytiscidae,Cybister,japonicus ,,,NA,43,
Coleoptera,Dytiscidae,Cybister,lateromarginalis ,,,NA,22,
Coleoptera,Dytiscidae,Cybister,limbatus ,XO,,44,43,
Coleoptera,Dytiscidae,Cybister,sugillatus ,XO,,44,43,
Coleoptera,Dytiscidae,Cybister,tripunctatus ,XO,,44,43,
Coleoptera,Dytiscidae,Deronectes,angusi,XY,,50,50,
Coleoptera,Dytiscidae,Deronectes,costipennis costipennis,XY,NeoXY  ,28,28,NeoXY
Coleoptera,Dytiscidae,Deronectes,costipennis gignouxi,XY,NeoXY  ,28,28,NeoXY
Coleoptera,Dytiscidae,Deronectes,ferrugineus,XY,,62,62,
Coleoptera,Dytiscidae,Deronectes,latus,XY,,50,50,
Coleoptera,Dytiscidae,Deronectes,platynotus,XY,NeoXY  ,28,28,NeoXY
Coleoptera,Dytiscidae,Deronectes,wewalai,XY,,62,62,
Coleoptera,Dytiscidae,Dytiscus,dauricus ,,,NA,37,
Coleoptera,Dytiscidae,Dytiscus,marginalis czerskii ,,,NA,37,
Coleoptera,Dytiscidae,Dytiscus,circumcinctus ,XY,,38,38,
Coleoptera,Dytiscidae,Dytiscus,marginalis ,XY,,38,38,
Coleoptera,Dytiscidae,Dytiscus,marginalis ,,,40,NA,
Coleoptera,Dytiscidae,Dytiscus,marginalis ,,,NA,39,
Coleoptera,Dytiscidae,Dytiscus,sp. ,,,NA,34,
Coleoptera,Dytiscidae,Dytiscus,sp. ,,,NA,39,
Coleoptera,Dytiscidae,Dytiscus,sp. ,,,NA,40,
Coleoptera,Dytiscidae,Eretes,strictus ,XO,,44,43,
Coleoptera,Dytiscidae,Eretes,sp. ,XO,,44,43,
Coleoptera,Dytiscidae,Hydaticus,decorus ,XO,,42,41,
Coleoptera,Dytiscidae,Hydaticus,fabricii ,XO,,42,41,
Coleoptera,Dytiscidae,Hydaticus,leander ,XO,,46,45,
Coleoptera,Dytiscidae,Hydaticus,luczonicus ,XO,,42,41,
Coleoptera,Dytiscidae,Hydaticus,vittatus ,XO,,42,41,
Coleoptera,Dytiscidae,Hydaticus,vittatus ,XO,,46,45,
Coleoptera,Dytiscidae,Hydroporus,humilis ,XO,,36,35,
Coleoptera,Dytiscidae,Hydrovatus,cuspidatus ,XO,,34,33,
Coleoptera,Dytiscidae,Ilybius,albarracinensis ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,chalconatus ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,erichsoni ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,montanus ,XO,,34,33,
Coleoptera,Dytiscidae,Ilybius,neglectus ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,quadriguttatus ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,vittiger ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,wasastjernae ,XO,,38,37,
Coleoptera,Dytiscidae,Ilybius,aenescens ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,ater ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,fenestratus ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,fuliginosus ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,guttiger ,XO,,36,35,
Coleoptera,Dytiscidae,Ilybius,subaeneus ,XO,,36,35,
Coleoptera,Dytiscidae,Nebrioporus,insignis ,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,lanceolatus ,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,walkeri ,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,amicorum,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,assimilis,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,baeticus,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,bucheti,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,canaliculatus,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,canariensis,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,carinatus,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,ceresyi,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,croceus,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,crotchi,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,depressus,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,depressus elegans int.,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,elegans,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,fabressei,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,lanceolatus,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,martinii,XO,,50,49,
Coleoptera,Dytiscidae,Nebrioporus,sardus,XO,,50,49,
Coleoptera,Dytiscidae,Platambus,maculatus ,XO,,20,19,
Coleoptera,Dytiscidae,Rhantus,exsoletus,XO,,42,41,
Coleoptera,Dytiscidae,Rhantus,frontalis,XO,,46,45,
Coleoptera,Dytiscidae,Rhantus,grapii,XO,,46,45,
Coleoptera,Dytiscidae,Rhantus,suturalis,XO,,46,45,
Coleoptera,Dytiscidae,Rhantus,suturellus,XO,,42,41,
Coleoptera,Dytiscidae,Rhantus,exsoletus ,XO,,NA,NA,
Coleoptera,Dytiscidae,Rhantus,notatus ,XO,,NA,NA,
Coleoptera,Dytiscidae,Rhantus,exsoletus ,XY,Xyp,42,42,Xyp Subsequent studies failed to replicate
Coleoptera,Dytiscidae,Rhantus,notatus ,XY,Xyp,44,44,Xyp Subsequent studies failed to replicate
Coleoptera,Dytiscidae,Scarodytes,fuscitarsis,XO,,56,55,
Coleoptera,Dytiscidae,Scarodytes,halensis,XO,,56,55,
Coleoptera,Dytiscidae,Scarodytes,malickyi,XO,,56,55,
Coleoptera,Dytiscidae,Scarodytes,nigriventris,XO,,56,55,
Coleoptera,Dytiscidae,Stictotarsus,griseostriatus strandi,XO,,62,61,
Coleoptera,Dytiscidae,Stictotarsus,procerus,XY,NeoXY  ,56,56,NeoXY
Coleoptera,Dytiscidae,Stictotarsus,bertandi,XY,NeoXY  ,56,56,NeoXY
Coleoptera,Dytiscidae,Stictotarsus,duodecimpustulatus,XY,NeoXY  ,56,56,NeoXY
Coleoptera,Dytiscidae,Stictotarsus,enexpectatus ,XO,,60,59,
Coleoptera,Dytiscidae,Trichonectes,otini,XO,,50,49,
Coleoptera,Dytiscidae,Unidentified,dytiscid ,XO,,38,37,
Coleoptera,Elateridae,Adelocera,murina,XY,Xyp,22,22,
Coleoptera,Elateridae,Adelocera,colonicus,XO,,18,17,
Coleoptera,Elateridae,Adelocera,modesta,XO,,18,17,
Coleoptera,Elateridae,Adelocera,murina,XY,Xyp,22,22,
Coleoptera,Elateridae,Adelocera,rectangularis,XO,,18,17,
Coleoptera,Elateridae,Adelocera,sp.,XO,,18,17,
Coleoptera,Elateridae,Agriotella,bigeminata,XO,,20,19,
Coleoptera,Elateridae,Agriotes,lineatus,XO,,20,19,
Coleoptera,Elateridae,Agriotes,mancus,XO,,20,19,
Coleoptera,Elateridae,Agriotes,obscurus,XO,,20,19,
Coleoptera,Elateridae,Agriotes,sputator,XY,Xyp,20,20,
Coleoptera,Elateridae,Agrypnus,fuscipes,XO,,18,17,
Coleoptera,Elateridae,Agrypnus,sp.,XO,,12,11,
Coleoptera,Elateridae,Ampedus,apicatus,XO,,20,19,
Coleoptera,Elateridae,Ampedus,deletus,XO,,20,19,
Coleoptera,Elateridae,Ampedus,fusculus,XO,,20,19,
Coleoptera,Elateridae,Ampedus,luctuosus,XO,,20,19,
Coleoptera,Elateridae,Ampedus,melsheimeri,XO,,20,19,
Coleoptera,Elateridae,Ampedus,pullus,XO,,20,19,
Coleoptera,Elateridae,Ampedus,"sp., nr. deletus",XO,,20,19,
Coleoptera,Elateridae,Ampedus,"sp., nr. Deletus",XO,,22,21,
Coleoptera,Elateridae,Ampedus,"sp., nr. miniipennis   ",XO,,20,19,
Coleoptera,Elateridae,Athous,rufiventris,XO,,20,19,
Coleoptera,Elateridae,Cardiophorus,cardisce,XY,Xyp,22,22,
Coleoptera,Elateridae,Cardiophorus,convexulus,XY,Xyp,22,22,
Coleoptera,Elateridae,Cardiophorus,convexus,XY,Xyp,20,20,
Coleoptera,Elateridae,Cardiophorus,fenestratus,XY,Xyp,22,22,
Coleoptera,Elateridae,Cardiophorus,gagates,XY,Xyp,22,22,
Coleoptera,Elateridae,Cardiophorus,haridwarensis,XO,,22,21,
Coleoptera,Elateridae,Cardiophorus,limbatus,XO,,22,21,
Coleoptera,Elateridae,Cardiophorus,togatus,XY,Xyp,22,22,
Coleoptera,Elateridae,Cardiorhinus,rufilateris,XO,,20,19,
Coleoptera,Elateridae,Chalcolepidius,zonatus,XY,,4,4,
Coleoptera,Elateridae,Chalcolepidius,silbermanni,XY,,12,12,
Coleoptera,Elateridae,Colaulon,lezeleuci,XO,,18,17,
Coleoptera,Elateridae,Conoderus,dimidiatus,XO,,18,17,
Coleoptera,Elateridae,Conoderus,scalaris,XO,,18,17,
