"Order","Family","Genus","species","Karyotype","Genotypic","Female.2N.","male.2N."
"Blattodea","Blattellidae","Ischnoptera","deropeltiformis","XO","male heterogametic",50,49
"Blattodea","Blattellidae","Ischnoptera","galibi","XO","male heterogametic",44,43
"Blattodea","Blattellidae","Ischnoptera","mura","XO","male heterogametic",34,33
"Blattodea","Blattellidae","Ischnoptera","panamae","XO","male heterogametic",40,39
"Blattodea","Blattellidae","Ischnoptera","rufa rufa","XO","male heterogametic",40,39
"Blattodea","Blattellidae","Ischnoptera","sp.93B","XO","male heterogametic",38,37
"Blattodea","Blattellidae","Loboptera","decipiens","XO","male heterogametic",34,33
"Blattodea","Blattellidae","Lobopterella","dimidiatipes","XO","male heterogametic",38,37
"Blattodea","Blattellidae","Lophoblatta","brevis","XO","male heterogametic",32,31
"Blattodea","Blattellidae","Lophoblatta","fissa","XO","male heterogametic",16,15
"Blattodea","Blattellidae","Lupparia","notulata","XO","male heterogametic",20,19
"Blattodea","Blattellidae","Margattea","punctulata","XO","male heterogametic",32,31
"Blattodea","Blattellidae","Nahublattella","n.sp.72B","XO","male heterogametic",20,19
"Blattodea","Blattellidae","Parasymploce","limbata","XO","male heterogametic",24,23
"Blattodea","Blattellidae","Parasymploce","sp.25T","XO","male heterogametic",32,31
"Blattodea","Blattellidae","Parasymploce","sp.30T","XO","male heterogametic",32,31
"Blattodea","Blattellidae","Parcoblatta","fulvescens","XO","male heterogametic",38,37
"Blattodea","Blattellidae","Parcoblatta","pennsylvanica","XO","male heterogametic",38,37
"Blattodea","Blattellidae","Pseudomops","septentrionalis","XO","male heterogametic",32,31
"Blattodea","Blattellidae","Shawella","couloniana","XO","male heterogametic",36,35
"Blattodea","Blattellidae","Supella","longipalpa","XO","male heterogametic",20,19
"Blattodea","Blattellidae","Symploce","capitata","XO","male heterogametic",28,27
"Blattodea","Blattellidae","Symploce","fusca","XO","male heterogametic",30,29
"Blattodea","Blattellidae","Symplocodes","marmorata","XO","male heterogametic",40,39
"Blattodea","Blattellidae","Symplocodes","n.sp.50","XO","male heterogametic",38,37
"Blattodea","Blattellidae","Xestoblatta","immaculata","XO","male heterogametic",38,37
"Blattodea","Blattidae","Blatta","orientalis","XO","male heterogametic",48,47
"Blattodea","Blattidae","Cryptocercus","punctulatus","XO","male heterogametic",40,39
"Blattodea","Blattidae","Deropeltis","erythrocephala","XO","male heterogametic",50,49
"Blattodea","Blattidae","Duchailluia","n.sp.","XO","male heterogametic",42,41
"Blattodea","Blattidae","Eurycotis","biolleyi","XO","male heterogametic",22,21
"Blattodea","Blattidae","Eurycotis","decipiens","XO","male heterogametic",28,27
"Blattodea","Blattidae","Eurycotis","floridana","XO","male heterogametic",28,27
"Blattodea","Blattidae","Lamproblatta","albipalpus","XO","male heterogametic",18,17
"Blattodea","Blattidae","Pelmatosilpha","coriacea","XO","male heterogametic",38,37
"Blattodea","Blattidae","Periplaneta","americana","XO","male heterogametic",34,33
"Blattodea","Blattidae","Periplaneta","australasiae","XO","male heterogametic",28,27
"Blattodea","Blattidae","Periplaneta","brunnea","XO","male heterogametic",28,27
"Blattodea","Blattidae","Periplaneta","fuliginosa","XO","male heterogametic",28,27
"Blattodea","Blattidae","Periplaneta","japonica","XO","male heterogametic",34,33
"Blattodea","Polyphagidae","Arenivaga","investigata","XO","male heterogametic",46,45
"Blattodea","Polyphagidae","Cryptocercus","primarius","XO","male heterogametic",20,19
"Blattodea","Polyphagidae","Cryptocercus","punctulatus","XO","male heterogametic",48,47
"Blattodea","Polyphagidae","Cryptocercus","punctulatus","XO","male heterogametic",38,37
"Blattodea","Polyphagidae","Cryptocercus","relictus","XO","male heterogametic",18,17
"Blattodea","Polyphagidae","Polyphaga","aegyptiaca","XO","male heterogametic",64,63
"Coleoptera","Anobiidae","Ernobius","mollis ","XY","male heterogametic",22,22
"Coleoptera","Anobiidae","Gibbium","psylloides ","XY","male heterogametic",18,18
"Coleoptera","Anobiidae","Lasioderma","serricorne ","XY","male heterogametic",18,18
"Coleoptera","Anobiidae","Ptinus","clavipes ","XY","male heterogametic",18,18
"Coleoptera","Anobiidae","Ptinus","clavipes ","","",27,NA
"Coleoptera","Anobiidae","Ptinus","hirtellus ","XY","male heterogametic",18,18
"Coleoptera","Anobiidae","Ptinus","hirtellus ","","",27,NA
"Coleoptera","Anobiidae","Ptinus","villiger ","XY","male heterogametic",18,18
"Coleoptera","Anobiidae","Stegobium","paniceum ","XO","male heterogametic",18,17
"Coleoptera","Anthicidae","Notoxus","calcaratus ","XY","male heterogametic",18,18
"Coleoptera","Anthicidae","Notoxus","constrictus ","XY","male heterogametic",18,18
"Coleoptera","Anthicidae","Notoxus","monodon ","XY","male heterogametic",18,18
"Coleoptera","Anthribidae","Araecerus","fasciculatus ","XY","male heterogametic",22,22
"Coleoptera","Anthribidae","Euparius","marmoreus ","XY","male heterogametic",22,22
"Coleoptera","Anthribidae","Habrissus","longipes ","XY","male heterogametic",22,22
"Coleoptera","Anthribidae","Platystomos","sellatus ","XY","male heterogametic",22,22
"Coleoptera","Anthribidae","Ptychoderes","bivittatus ","XY","male heterogametic",22,22
"Coleoptera","Anthribidae","Ptychoderes","tricostifrons ","XY","male heterogametic",22,22
"Coleoptera","Anthribidae","Tropideres","germanus ","XY","male heterogametic",22,22
"Coleoptera","Anthribidae","Tropideres","germanus ","XY","male heterogametic",24,24
"Coleoptera","Anthribidae","Tropideres","japonicus ","XY","male heterogametic",22,22
"Coleoptera","Anthribidae","Tropideres","laxus ","XY","male heterogametic",22,22
"Coleoptera","Attelabidae","Apoderus","balteatus","XY","male heterogametic",22,22
"Coleoptera","Attelabidae","Apoderus","balteatus","XY","male heterogametic",26,26
"Coleoptera","Attelabidae","Apoderus","coryli ","XY","male heterogametic",28,28
"Coleoptera","Attelabidae","Apoderus","erythrogaster nigriventris    ","XY","male heterogametic",28,28
"Coleoptera","Attelabidae","Apoderus","erythrogaster rufiventris    ","XY","male heterogametic",26,26
"Coleoptera","Attelabidae","Apoderus","jekeli","XY","male heterogametic",36,36
"Coleoptera","Attelabidae","Apoderus","jekeli","XY","male heterogametic",38,38
"Coleoptera","Attelabidae","Auletobius","irkutensis japonicus    ","XY","male heterogametic",32,32
"Coleoptera","Attelabidae","Auletobius","puberulus","XY","male heterogametic",32,32
"Coleoptera","Attelabidae","Centrocorynus","aemulus ","XY","male heterogametic",28,28
"Coleoptera","Attelabidae","Deporaus","affectatus","XY","male heterogametic",24,24
"Coleoptera","Attelabidae","Deporaus","harmanni","XY","male heterogametic",22,22
"Coleoptera","Attelabidae","Deporaus","marginatus ","XY","male heterogametic",22,22
"Coleoptera","Attelabidae","Deporaus","minimus","XY","male heterogametic",26,26
"Coleoptera","Attelabidae","Deporaus","sp. 1    ","XY","male heterogametic",22,22
"Coleoptera","Attelabidae","Deporaus","sp. 2    ","XY","male heterogametic",22,22
"Coleoptera","Attelabidae","Deporaus","unicolor","XY","male heterogametic",24,24
"Coleoptera","Attelabidae","Deporaus","unicolor","XY","male heterogametic",34,34
"Coleoptera","Attelabidae","Hypera","viciae ","XY","male heterogametic",22,22
"Coleoptera","Attelabidae","Larinus","sturnus ","XY","male heterogametic",38,38
"Coleoptera","Attelabidae","Liophloeus","lentus ","XY","male heterogametic",22,22
"Coleoptera","Attelabidae","Liparus","glabrirostris ","XY","male heterogametic",32,32
"Coleoptera","Attelabidae","Pissodes","notatus ","XY","male heterogametic",22,22
"Coleoptera","Attelabidae","Rhynchites","heros","XY","male heterogametic",38,38
"Coleoptera","Attelabidae","Rhynchites","pilosus","XY","male heterogametic",32,32
"Coleoptera","Attelabidae","Rhynchites","placidus","XY","male heterogametic",38,38
"Coleoptera","Attelabidae","Rhynchites","sp. 1    ","XY","male heterogametic",34,34
"Coleoptera","Bostrichidae","Apate","monacha ","XY","male heterogametic",22,22
"Coleoptera","Bostrichidae","Bostrychopsis","bengalensis ","XY","male heterogametic",20,20
"Coleoptera","Bostrichidae","Rhizopertha","dominica ","XY","male heterogametic",18,18
"Coleoptera","Bostrichidae","Sinoxylon","anale ","XY","male heterogametic",20,20
"Coleoptera","Brentidae","Apion","abruptum","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Apion","collare","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Apion","sp. 1    ","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Apion","sp. 2    ","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Aplemonus","tuberculata ","XY","male heterogametic",26,26
"Coleoptera","Brentidae","Brentus","anchorago ","XY","male heterogametic",12,12
"Coleoptera","Brentidae","Brentus","mexicanus ","XY","male heterogametic",12,12
"Coleoptera","Brentidae","Ceratapion","austriacum ","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Ceratapion","penetrans ","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Cylas","formicarius","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Cylas","formicarius elegantulus    ","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Eutrichapion","melancholicum ","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Nanophyes","marmoratus ","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Nemocephalus","femoratus ","XY","male heterogametic",12,12
"Coleoptera","Brentidae","Oxystoma","cerdo ","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Proepisphales","elegans ","XY","male heterogametic",12,12
"Coleoptera","Brentidae","Pseudorychoides","insignis ","XY","male heterogametic",12,12
"Coleoptera","Brentidae","Rhopalapion","longirostre ","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Squamapion","flavimanum ","XY","male heterogametic",22,22
"Coleoptera","Brentidae","Trachelizus","sp. 1 ","XY","male heterogametic",12,12
"Coleoptera","Buprestidae"," Spruce","borer sp. I ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae"," Spruce","borer sp. II ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Acmaeodera","boryi ","XY","male heterogametic",18,18
"Coleoptera","Buprestidae","Acmaeodera","flavofasciata ","XY","male heterogametic",18,18
"Coleoptera","Buprestidae","Acmaeodera","flavolineata ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Acmaeodera","gibbulosa ","XY","male heterogametic",18,18
"Coleoptera","Buprestidae","Acmaeodera","hepburni ","XY","male heterogametic",18,18
"Coleoptera","Buprestidae","Acmaeodera","pilosellae persica","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Acmaeodera","vetusta ","XY","male heterogametic",18,18
"Coleoptera","Buprestidae","Agrilus","angustulus ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Agrilus","anxius ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Agrilus","araxenus ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Agrilus","liragus ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Agrilus","obscuricollis ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Agrilus","politus pseudocoryli ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Agrilus","sp. ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Anthaxia","amasina ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Anthaxia","bicolor ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Anthaxia","deaurata ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Anthaxia","hungarica ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Anthaxia","lgockii ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Anthaxia","mirabilis ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Anthaxia","olympica ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Anthaxia","podolica ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Anthaxia","sponsa ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Anthaxia","viridifrons ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Capnodis","miliaris ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Capnodis","tenebrionis ","XY","male heterogametic",14,14
"Coleoptera","Buprestidae","Castiarina","adelaidae ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","argillacea ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","cupreoflava ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","decemmaculata ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","flavopicta ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","grata ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","rufipennis ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","sexplagiata ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","simulata ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","subnotata ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","subtincta ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Castiarina","triramosa ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Chalcophora","lacustris ","XO","male heterogametic",22,21
"Coleoptera","Buprestidae","Chrysobothris","affinis tetragramma ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Chrysobothris","dentipes ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Chrysobothris","floricola ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Coraebus","rubi ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Coraebus","sinuatus ","XY","male heterogametic",24,24
"Coleoptera","Buprestidae","Dicera","divaricata ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Dicera","prolongata ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Dicera","tenebrosa ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Dicerca","aenea validiuscula","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Julodella","globithorax ","XY","male heterogametic",26,26
"Coleoptera","Buprestidae","Julodis","andreae ","XY","male heterogametic",26,26
"Coleoptera","Buprestidae","Julodis","faldermanni ","XY","male heterogametic",26,26
"Coleoptera","Buprestidae","Julodis","whithilli ","XY","male heterogametic",24,24
"Coleoptera","Buprestidae","Melanophila","acuminata ","XY","male heterogametic",12,12
"Coleoptera","Buprestidae","Melanophila","drummondi ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Melanophila","intrusa ","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Meliboeus","caucasicus ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Ovalisia","nadezhdae ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Perotis","cuprata ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Perotis","lugubris ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Sphaerobothris","aghababiani","XY","male heterogametic",16,16
"Coleoptera","Buprestidae","Sphenoptera","artemisiae ","XY","male heterogametic",24,24
"Coleoptera","Buprestidae","Sphenoptera","glabrata ","XY","male heterogametic",40,40
"Coleoptera","Buprestidae","Sphenoptera","tamarisci ","XY","male heterogametic",30,30
"Coleoptera","Buprestidae","Stenocera","sp","XY","male heterogametic",26,26
"Coleoptera","Buprestidae","Sternocera","laevigata ","XY","male heterogametic",26,26
"Coleoptera","Buprestidae","Sternocera","nitidicollis ","XY","male heterogametic",26,26
"Coleoptera","Buprestidae","Stigmodera","cancellata ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Stigmodera","goryi ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Stigmodera","gratiosa ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Stigmodera","macularia ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Stigmodera","porosa ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Stigmodera","roei ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","alternata ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Themognatha","barbiventris ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","bonvouloiri ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","chalcodera ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","chevrolati ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","donovani ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","heros ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","mitchelli ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","mniszechi ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","nickerli ","XY","male heterogametic",20,20
"Coleoptera","Buprestidae","Themognatha","parvicollis ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","pubicollis ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","regia ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","tricolorata ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","variabilis ","XY","male heterogametic",22,22
"Coleoptera","Buprestidae","Themognatha","viridicincta ","XY","male heterogametic",22,22
"Coleoptera","Byrrhidae","Byrrhus","sp. ","XY","male heterogametic",18,18
"Coleoptera","Byrrhidae","Cytilus","alternatus ","XY","male heterogametic",18,18
"Coleoptera","Cantharidae","Cantharis","cryptica ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Cantharis","fusca ","XY","male heterogametic",20,20
"Coleoptera","Cantharidae","Cantharis","fusca ","","",14,NA
"Coleoptera","Cantharidae","Cantharis","lateralis ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Cantharis","livida ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Cantharis","nigra ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Cantharis","nigricans ","","",14,NA
"Coleoptera","Cantharidae","Cantharis","pallida ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Cantharis","pellucida ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Cantharis","rufa ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Cantharis","rustica ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Cantharis","sp. ","XY","male heterogametic",20,20
"Coleoptera","Cantharidae","Cantharis","tenuicollis ","XY","male heterogametic",20,20
"Coleoptera","Cantharidae","Cantharis","thoracica ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Chauliognathus","expansus ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Chauliognathus","fallax ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Chauliognathus","flavipes ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Chauliognathus","lineatus ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Chauliognathus","octomaculatus ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Chauliognathus","riograndensis ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Chauliognathus","sp. 1 ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Chauliognathus","tetrapunctatus ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Malthinus","seriepunctatus ","","",12,NA
"Coleoptera","Cantharidae","Malthodes","dispar ","XO","male heterogametic",12,11
"Coleoptera","Cantharidae","Malthodes","minimus ","","",12,NA
"Coleoptera","Cantharidae","Rhagonycha","fulva ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Rhagonycha","lignosa ","","",14,NA
"Coleoptera","Cantharidae","Rhagonycha","limbata ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Rhagonycha","lutea ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Rhagonycha","testacea ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Silis","ruficollis ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Telephorus","nobilitatus ","XO","male heterogametic",14,13
"Coleoptera","Cantharidae","Tylocerus","barberi ","XO","male heterogametic",14,13
"Coleoptera","Carabidae","Abacetus","salzamanni","XO","male heterogametic",42,41
