"Order","Family","Genus","Species","femalediploidnumber","sexchromosome"
"Orthoptera","Romaleidae","Zoniopoda","Zoniopoda hempeli",24,"XO"
"Orthoptera","Romaleidae","Zoniopoda","Zoniopoda iheringi",22,"XY"
"Orthoptera","Romaleidae","Zoniopoda","Zoniopoda juncorum",24,"XO"
"Orthoptera","Romaleidae","Zoniopoda","Zoniopoda omnicolor",24,"XO"
"Orthoptera","Romaleidae","Zoniopoda","Zoniopoda similis",24,"XO"
"Orthoptera","Romaleidae","Zoniopoda","Zoniopoda tarsata",24,"XO"
"Orthoptera","Tristiridae","Atacamacris","Atacamacris diminuta",10,"XY"
"Orthoptera","Tristiridae","Elysiacris","Elysiacris angusticollis",22,"XO"
"Orthoptera","Tristiridae","Illapelia","Illapelia penai",24,"XO"
"Orthoptera","Tristiridae","Peplacris","Peplacris recutita",22,"XO"
"Orthoptera","Tristiridae","Tropidostethus","Tropidostethus bicarinatus",22,"XO"
"Phasmatodea","Phylliidae","Clonopsis","Clonopsis androgenes",44,""
"Phasmatodea","Phylliidae","Clonopsis","Clonopsis felicitatis",36,"XO"
"Phasmatodea","Phylliidae","Clonopsis","Clonopsis gallica",54,""
"Phasmatodea","Phylliidae","Clonopsis","Clonopsis maroccana",22,"XO"
"Phasmatodea","Phylliidae","Clonopsis","Clonopsis soumiae",72,""
"Phasmatodea","Phylliidae","Clonopsis","Clonopsis sp. 2",72,""
"Phasmatodea","Phylliidae","Clonopsis","Clonopsis sp. 1",36,"XO"
"Phasmatodea","Phasmatidae","Acanthoxyla","Acanthoxyla inermis",36,""
"Phasmatodea","Phasmatidae","Acanthoxyla","Acanthoxyla intermedia",38,""
"Phasmatodea","Phasmatidae","Clitarchus","Clitarchus hookeri",36,""
"Phasmatodea","Phasmidae","Carausius","Carausius morosus",64,""
"Phasmatodea","Phylliidae","Bacillus","Bacillus atticus",34,""
"Phasmatodea","Phylliidae","Bacillus","Bacillus grandii benazzii",34,"XO"
"Phasmatodea","Phylliidae","Bacillus","Bacillus grandii grandii",34,"XO"
"Phasmatodea","Phylliidae","Bacillus","Bacillus lynceorum",51,""
"Phasmatodea","Phylliidae","Bacillus","Bacillus rossius-grandii benazzii",35,""
"Phasmatodea","Phylliidae","Bacillus","Bacillus rossius-grandii grandii",35,""
"Phasmatodea","Phylliidae","Bacillus","Bacillus whitei",35,""
"Phasmatodea","Phylliidae","Pijnackeria","Pijnackeria barbarae",38,"XO"
"Phasmatodea","Phylliidae","Pijnackeria","Pijnackeria lelongi",38,"XO"
"Phasmatodea","Phylliidae","Pijnackeria","Pijnackeria lucianae",38,"XO"
"Phasmatodea","Phylliidae","Pijnackeria","Pijnackeria masettii",58,"XO"
"Phasmatodea","Phylliidae","Pijnackeria","Pijnackeria originis",38,"XO"
"Orthoptera","Acrididae","Chirista","Chirista compta",24,"XO"
"Orthoptera","Acrididae","Coryphosima","Coryphosima stenoptera",24,"XO"
"Dermaptera","Forficulidae","Forficula","Forficula sp",28,"XXY"
"Dermaptera","Pygicranidae","Diplatys","Diplatys gladiator",18,"XY"
"Isoptera","Termitidae","Kalotermes","Kalotermes approximatus",34,"XXY"
"Isoptera","Termitidae","Kalotermes","Kalotermes approximatus",32,"XXYY"
"Phasmatodea","Phasmatidae","Acanthoxyla","Acanthoxyla fasciata",NA,""
"Phasmatodea","Phasmatidae","Acanthoxyla","Acanthoxyla geisovii",38,""
"Phasmatodea","Phasmatidae","Acanthoxyla","Acanthoxyla huttoni",NA,""
"Phasmatodea","Phasmatidae","Acanthoxyla","Acanthoxyla prasina",NA,""
"Phasmatodea","Phasmatidae","Acanthoxyla","Acanthoxyla speciosa",NA,""
"Phasmatodea","Phasmatidae","Acanthoxyla","Acanthoxyla suteri",NA,""
"Phasmatodea","Timematidae","Timema","Timema poppensis",24,""
"Phasmatodea","Timematidae","Timema","Timema shepardi",24,""
"Isoptera","Termitidae","Acidnotermes","Acidnotermes praus",42,"XXYY"
"Isoptera","Termitidae","Afrosubulitermes","Afrosubulitermes congoensis",42,"XXYY"
"Isoptera","Termitidae","Crenetermes","Crenetermes albotarsalis",42,"XXYY"
"Isoptera","Termitidae","Cubitermes","Cubitermes exiguus",42,"XXYY"
"Isoptera","Termitidae","Cubitermes","Cubitermes sankurensis",42,"XXYY"
"Isoptera","Termitidae","Cubitermes","Cubitermes sp. 1.",42,"XXYY"
"Isoptera","Termitidae","Cubitermes","Cubitermes weissi",42,"XXYY"
"Isoptera","Termitidae","Kalotermes","Kalotermes Flavicollis",62,"XXYY"
"Isoptera","Termitidae","Macrotermes","Macrotermes bellicosus",42,"XXYY"
"Isoptera","Termitidae","Microcerotermes","Microcerotermes fuscotibiatis",42,"XXYY"
"Isoptera","Termitidae","Microcerotermes","Microcerotermes parvulus",42,"XXYY"
"Isoptera","Termitidae","Microcerotermes","Microcerotermes sp.1",44,"XXYY"
"Isoptera","Termitidae","Microcerotermes","Microcerotermes sp.2",42,"XXYY"
"Isoptera","Termitidae","Microtermes","Microtermes sp.1",42,"XXYY"
"Isoptera","Termitidae","Nasutitermes","Nasutitermes arboreus",42,"XXYY"
"Isoptera","Termitidae","Noditermes","Noditermes lamanianus",38,"XXYY"
"Isoptera","Termitidae","Odontotermes","Odontotermes redemanni",48,"XXYY"
"Isoptera","Termitidae","Odontotermes","Odontotermes snyderi",42,"XXYY"
"Isoptera","Termitidae","Odontotermes","Odontotermes sp.1",42,"XXYY"
"Isoptera","Termitidae","Ophiotermes","Ophiotermes mandibularis",42,"XXYY"
"Isoptera","Termitidae","Pericapritermes","Pericapritermes sp.1",42,"XXYY"
"Isoptera","Termitidae","Procubitermes","Procubitermes sp. 1",38,"XXYY"
"Isoptera","Termitidae","Protermes","Protermes minimus",42,"XXYY"
"Isoptera","Termitidae","Pseudacanthotermes","Pseudacanthotermes militaris",42,"XXYY"
"Isoptera","Termitidae","Reticulitermes","Reticulitermes flavipes",42,"XXYY"
"Isoptera","Termitidae","Reticulitermes","Reticulitermes lucifugus",42,"XXYY"
"Isoptera","Termitidae","Reticutitermes","Reticutitermes santonensis",42,"XXYY"
"Isoptera","Termitidae","Schedorhinotermes","Schedorhinotermes lamanianus",38,"XXYY"
"Isoptera","Termitidae","Tenuirostritermes","Tenuirostritermes tenuirostris",NA,"XXYY"
"Isoptera","Termitidae","Thoracotermes","Thoracotermes macrothorax",42,"XXYY"
"Isoptera","Termitidae","Tuberculitermes","Tuberculitermes bycanistes",42,"XXYY"
"Isoptera","Termitidae","Unguitermes","Unguitermes bouilloni",42,"XXYY"
"Isoptera","Termitidae","Zootermopsis","Zootermopsis angusticollis",52,"XXYY"
"Isoptera","Termitidae","Zootermopsis","Zootermopsis angusticollis",52,"XXYY"
"Isoptera","Termitidae","Zootermopsis","Zootermopsis nevadensis",52,"XXYY"
"Orthoptera","Tettigoniidae","Isophya","Isophya altaica",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya andreevae",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya bureschi",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya camptoxypha",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya gulae",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya hemiptera",30,"XY"
"Orthoptera","Tettigoniidae","Isophya","Isophya hospodat",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya kalishevskii",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya kisi",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya krausii",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya miksici",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya modesta longicaudata",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya modestior",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya obtusa",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya petkovi",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya pienensis",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya plevnensis",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya pravdini adamovici",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya pravdini pravdini",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya rammei",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya rectipennis",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya rhodopensis",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya schneideri",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya speciosa",32,"XO"
"Orthoptera","Tettigoniidae","Isophya","Isophya tosevski",32,"XO"
"Dermaptera","Labiduridae","Labidura","Labidura bengalensis",14,"XY"
"Blattodea","Blaberidae","Archimandrita","Archimandrita tessellata",46,"XO"
"Blattodea","Blaberidae","Blaberus","Blaberus atropos",74,"XO"
"Blattodea","Blaberidae","Blaberus","Blaberus cranifer",74,"XO"
"Blattodea","Blaberidae","Blaberus","Blaberus discoidalis",38,"XO"
"Blattodea","Blaberidae","Blaberus","Blaberus giganteus",74,"XO"
"Blattodea","Blaberidae","Blaberus","Blaberus parabolicus",40,"XO"
"Blattodea","Blaberidae","Byrsotria","Byrsotria fumigata",48,"XO"
"Blattodea","Blaberidae","Capucina","Capucina patula",38,"XO"
"Blattodea","Blaberidae","Diploptera","Diploptera punctata",48,"XO"
"Blattodea","Blaberidae","Epilampra","Epilampra abdomennigrum",42,"XO"
"Blattodea","Blaberidae","Epilampra","Epilampra grisea",50,"XO"
"Blattodea","Blaberidae","Epilampra","Epilampra maculicollis",38,"XO"
"Blattodea","Blaberidae","Epilampra","Epilampra maya",36,"XO"
"Blattodea","Blaberidae","Epilampra","Epilampra sagitta",44,"XO"
"Blattodea","Blaberidae","Epilampra","Epilampra sp.81B",40,"XO"
"Blattodea","Blaberidae","Eublaberus","Eublaberus distanti",66,"XO"
"Blattodea","Blaberidae","Eublaberus","Eublaberus posticus",44,"XO"
"Blattodea","Blaberidae","Galiblatta","Galiblatta williamsi",28,"XO"
"Blattodea","Blaberidae","Gromphadorhina","Gromphadorhina brunneri",64,"XO"
"Blattodea","Blaberidae","Gromphadorhina","Gromphadorhina chopardi",76,"XO"
"Blattodea","Blaberidae","Gromphadorhina","Gromphadorhina portentosa",64,"XO"
"Blattodea","Blaberidae","Hormetica","Hormetica scrobiculata",32,"XO"
"Blattodea","Blaberidae","Hormetica","Hormetica ventralis",32,"XO"
"Blattodea","Blaberidae","Hyporhicnoda","Hyporhicnoda litomorpha",44,"XO"
"Blattodea","Blaberidae","Lanxoblatta","Lanxoblatta emarginata",66,"XO"
"Blattodea","Blaberidae","Leucophaea","Leucophaea maderae",24,"XO"
"Blattodea","Blaberidae","Macropanesthia","Macropanesthia rhinoceros",80,"XO"
"Blattodea","Blaberidae","Nauphoeta","Nauphoeta cinerea",38,"XO"
"Blattodea","Blaberidae","Panchlora","Panchlora nivea",36,"XO"
"Blattodea","Blaberidae","Panchlora","Panchlora sp.",32,"XO"
"Blattodea","Blaberidae","Panchlora","Panchlora viridis",38,"XO"
"Blattodea","Blaberidae","Panesthia","Panesthia sp.",38,"XO"
"Blattodea","Blaberidae","Panesthia","Panesthia stellata",38,"XO"
"Blattodea","Blaberidae","Petasodes","Petasodes dominicana",54,"XO"
"Blattodea","Blaberidae","Phoetalia","Phoetalia circumvagans",54,"XO"
"Blattodea","Blaberidae","Phortioica","Phortioica phoraspoides",66,"XO"
"Blattodea","Blaberidae","Pinaconota","Pinaconota sicca",34,"XO"
"Blattodea","Blaberidae","Proscratea","Proscratea complanata",36,"XO"
"Blattodea","Blaberidae","Pycnoscelus","Pycnoscelus indicus",36,"XO"
"Blattodea","Blaberidae","Pycnoscelus","Pycnoscelus surinamensis",35,""
"Blattodea","Blaberidae","Pycnoscelus","Pycnoscelus surinamensis",53,""
"Blattodea","Blaberidae","Rhabdoblatta","Rhabdoblatta annandalei",50,"XO"
"Blattodea","Blaberidae","Rhabdoblatta","Rhabdoblatta sp.39T",32,"XO"
"Blattodea","Blaberidae","Sp.","Sp. sp41B",30,"XO"
"Blattodea","Blattellidae","Agmoblatta","Agmoblatta thaxteri",26,"XO"
"Blattodea","Blattellidae","Amazonina","Amazonina conspersa",24,"XO"
"Blattodea","Blattellidae","Amazonina","Amazonina n.sp.",26,"XO"
"Blattodea","Blattellidae","Amazonina","Amazonina n.sp.38B",26,"XO"
"Blattodea","Blattellidae","Attaphila","Attaphila fungicola",34,"XO"
"Blattodea","Blattellidae","Blattella","Blattella bisignata",24,"XO"
"Blattodea","Blattellidae","Blattella","Blattella germanica",24,"XO"
"Blattodea","Blattellidae","Blattella","Blattella lituricollis lituricollis",26,"XO"
"Blattodea","Blattellidae","Blattella","Blattella sauteri",24,"XO"
"Blattodea","Blattellidae","Blattella","Blattella sp.C43T",28,"XO"
"Blattodea","Blattellidae","Blattella","Blattella sp.D",30,"XO"
"Blattodea","Blattellidae","Blattella","Blattella sp.E71A",50,"XO"
"Blattodea","Blattellidae","Blattella","Blattella vaga",24,"XO"
"Blattodea","Blattellidae","Cariblatta","Cariblatta lutea minima",26,"XO"
"Blattodea","Blattellidae","Dendroblatta","Dendroblatta cnephaia",32,"XO"
"Blattodea","Blattellidae","Dendroblatta","Dendroblatta sobrina",26,"XO"
"Blattodea","Blattellidae","Ectobius","Ectobius pallidus",22,"XO"
"Blattodea","Blattellidae","Gislenia","Gislenia australica",34,"XO"
"Blattodea","Blattellidae","Hemithyrsocera","Hemithyrsocera lateralis",26,"XO"
"Blattodea","Blattellidae","Ischnoptera","Ischnoptera castanea",34,"XO"
"Blattodea","Blattellidae","Ischnoptera","Ischnoptera deropeltiformis",50,"XO"
"Blattodea","Blattellidae","Ischnoptera","Ischnoptera galibi",44,"XO"
"Blattodea","Blattellidae","Ischnoptera","Ischnoptera mura",34,"XO"
"Blattodea","Blattellidae","Ischnoptera","Ischnoptera panamae",40,"XO"
"Blattodea","Blattellidae","Ischnoptera","Ischnoptera rufa rufa",40,"XO"
"Blattodea","Blattellidae","Ischnoptera","Ischnoptera sp.93B",38,"XO"
"Blattodea","Blattellidae","Loboptera","Loboptera decipiens",34,"XO"
"Blattodea","Blattellidae","Lobopterella","Lobopterella dimidiatipes",38,"XO"
"Blattodea","Blattellidae","Lophoblatta","Lophoblatta brevis",32,"XO"
"Blattodea","Blattellidae","Lophoblatta","Lophoblatta fissa",16,"XO"
"Blattodea","Blattellidae","Lupparia","Lupparia notulata",20,"XO"
"Blattodea","Blattellidae","Margattea","Margattea punctulata",32,"XO"
"Blattodea","Blattellidae","Nahublattella","Nahublattella n.sp.72B",20,"XO"
"Blattodea","Blattellidae","Parasymploce","Parasymploce limbata",24,"XO"
"Blattodea","Blattellidae","Parasymploce","Parasymploce sp.25T",32,"XO"
"Blattodea","Blattellidae","Parasymploce","Parasymploce sp.30T",32,"XO"
"Blattodea","Blattellidae","Parcoblatta","Parcoblatta fulvescens",38,"XO"
"Blattodea","Blattellidae","Parcoblatta","Parcoblatta pennsylvanica",38,"XO"
"Blattodea","Blattellidae","Pseudomops","Pseudomops septentrionalis",32,"XO"
"Blattodea","Blattellidae","Shawella","Shawella couloniana",36,"XO"
"Blattodea","Blattellidae","Supella","Supella longipalpa",20,"XO"
"Blattodea","Blattellidae","Symploce","Symploce capitata",28,"XO"
"Blattodea","Blattellidae","Symploce","Symploce fusca",30,"XO"
"Blattodea","Blattellidae","Symplocodes","Symplocodes marmorata",40,"XO"
"Blattodea","Blattellidae","Symplocodes","Symplocodes n.sp.50",38,"XO"
"Blattodea","Blattellidae","Xestoblatta","Xestoblatta immaculata",38,"XO"
"Blattodea","Blattidae","Blatta","Blatta orientalis",48,"XO"
"Blattodea","Blattidae","Cryptocercus","Cryptocercus punctulatus",40,"XO"
"Blattodea","Blattidae","Deropeltis","Deropeltis erythrocephala",50,"XO"
"Blattodea","Blattidae","Duchailluia","Duchailluia n.sp.",42,"XO"
"Blattodea","Blattidae","Eurycotis","Eurycotis biolleyi",22,"XO"
"Blattodea","Blattidae","Eurycotis","Eurycotis decipiens",28,"XO"
"Blattodea","Blattidae","Eurycotis","Eurycotis floridana",28,"XO"
"Blattodea","Blattidae","Lamproblatta","Lamproblatta albipalpus",18,"XO"
"Blattodea","Blattidae","Pelmatosilpha","Pelmatosilpha coriacea",38,"XO"
"Blattodea","Blattidae","Periplaneta","Periplaneta americana",34,"XO"
"Blattodea","Blattidae","Periplaneta","Periplaneta australasiae",28,"XO"
"Blattodea","Blattidae","Periplaneta","Periplaneta brunnea",28,"XO"
"Blattodea","Blattidae","Periplaneta","Periplaneta fuliginosa",28,"XO"
"Blattodea","Blattidae","Periplaneta","Periplaneta japonica",34,"XO"
"Blattodea","Polyphagidae","Arenivaga","Arenivaga investigata",46,"XO"
"Blattodea","Polyphagidae","Cryptocercus","Cryptocercus punctulatus",38,"XO"
"Blattodea","Polyphagidae","Cryptocercus","Cryptocercus punctulatus",48,"XO"
"Blattodea","Polyphagidae","Latindia","Latindia sp.3",NA,""
"Blattodea","Polyphagidae","Polyphaga","Polyphaga aegyptiaca",64,"XO"
"Embiidina","Embiidae","Cleomia","Cleomia guareschii",22,"XO"
"Embiidina","Embiidae","Embia","Embia nuragica",24,"XO"
"Embiidina","Embiidae","Embia","Embia ramburi",22,"XO"
"Embiidina","Embiidae","Embia","Embia tyrrhenica",22,"XO"
"Embiidina","Oligotomidae","Haploembia","Haploembia palaui",22,"XO"
"Embiidina","Oligotomidae","Haploembia","Haploembia solieri",20,"XO"
"Embiidina","Oligotomidae","Oligotoma","Oligotoma japonica",20,"XO"
"Embiidina","Oligotomidae","Oligotoma","Oligotoma saundersi",22,"XO"
"Grylloblata","Grylloblatidae","Galloisiana","Galloisiana nipponensis",30,"XY"
"Grylloblata","Grylloblatidae","Grylloblatta","Grylloblatta campodeioformis",30,"XY"
"Mantodea","Amorphoscelidae","Amorphoscelis","Amorphoscelis indica",34,"XO"
"Mantodea","Amorphoscelidae","Cliomantis","Cliomantis cornuta",26,"XO"
"Mantodea","Amorphoscelidae","Glabromantis","Glabromantis nebulosa",26,"XO"
"Mantodea","Empusidae","Empusa","Empusa egena",28,"XO"
"Mantodea","Empusidae","Empusa","Empusa pauperata",28,"XO"
"Mantodea","Empusidae","Empusa","Empusa spinosa",28,"XO"
"Mantodea","Empusidae","Gongylus","Gongylus gongyloides",28,"XO"
"Mantodea","Eremiaphilidae","Didymocorypha","Didymocorypha lanceolata",16,"XO"
"Mantodea","Eremiaphilidae","Didymocorypha","Didymocorypha lanceolata",18,"XO"
"Mantodea","Eremiaphilidae","Humbertiella","Humbertiella indica",24,"XO"
"Mantodea","Eremiaphilidae","Humbertiella","Humbertiella n.sp.",40,"XO"
"Mantodea","Eremiaphilidae","Humbertiella","Humbertiella similis",32,"XO"
"Mantodea","Eremiaphilidae","Humbertiella","Humbertiella sp.",22,"XO"
"Mantodea","Hymenopodidae","Acanthops","Acanthops falcata",20,"XO"
"Mantodea","Hymenopodidae","Acanthops","Acanthops godmani",20,"XO"
"Mantodea","Hymenopodidae","Acontiothespis","Acontiothespis cordillerae vitrea",16,"XO"
"Mantodea","Hymenopodidae","Acontiothespis","Acontiothespis multicolor",16,""
"Mantodea","Hymenopodidae","Acontiothespis","Acontiothespis sp.",16,"XO"
"Mantodea","Hymenopodidae","Antemna","Antemna rapax",28,"XXY"
"Mantodea","Hymenopodidae","Creobroter","Creobroter gemmatus",28,"XO"
"Mantodea","Hymenopodidae","Creobroter","Creobroter laevicollis",28,"XO"
"Mantodea","Hymenopodidae","Creobroter","Creobroter urbanus",28,"XO"
"Mantodea","Hymenopodidae","Euantissa","Euantissa ornata",34,"XO"
"Mantodea","Hymenopodidae","Harpagomantis","Harpagomantis tricolor",26,"XO"
"Mantodea","Hymenopodidae","Hestiasula","Hestiasula brunneriana",28,"XO"
"Mantodea","Hymenopodidae","Pseudacanthops","Pseudacanthops medusa",20,""
"Mantodea","Hymenopodidae","Tithrone","Tithrone roseipennis",16,"XO"
"Mantodea","Mantidae","Aethalochroa","Aethalochroa ashmoliana",30,"XO"
"Mantodea","Mantidae","Ameles","Ameles abjecta",30,"XO"
"Mantodea","Mantidae","Ameles","Ameles heldreichi",29,"XO"
"Mantodea","Mantidae","Ameles","Ameles sp.",21,"XO"
"Mantodea","Mantidae","Angela","Angela guianensis",NA,""
"Mantodea","Mantidae","Antistia","Antistia sp.",28,"XO"
"Mantodea","Mantidae","Apterornantis","Apterornantis bolivari",30,"XO"
"Mantodea","Mantidae","Archimantis","Archimantis quinquelobata",28,"XXY"
"Mantodea","Mantidae","Archimantis","Archimantis sobrina",28,"XXY"
"Mantodea","Mantidae","Arneles","Arneles cypria",27,"XO"
"Mantodea","Mantidae","Bisanthe","Bisanthe pulchripennis",22,"XO"
"Mantodea","Mantidae","Bolbe","Bolbe nigra",30,"XO"
"Mantodea","Mantidae","Bolbe","Bolbe pallida",30,"XO"
"Mantodea","Mantidae","Brunneria","Brunneria borealis",28,""
"Mantodea","Mantidae","Callimantis","Callimantis antillarum",18,"XO"
"Mantodea","Mantidae","Cheddikulama","Cheddikulama straminea",28,"XXY"
"Mantodea","Mantidae","Choeradodis","Choeradodis rhombicollis",32,"XXY"
"Mantodea","Mantidae","Compsothespis","Compsothespis anomala",30,"XXY"
"Mantodea","Mantidae","Compsothespis","Compsothespis natalica",30,"XXY"
"Mantodea","Mantidae","Deiphobe","Deiphobe brunneri",20,"XO"
"Mantodea","Mantidae","Deiphobe","Deiphobe indica",28,"XXY"
"Mantodea","Mantidae","Dystacta","Dystacta alticeps",26,"XO"
"Mantodea","Mantidae","Haldwania","Haldwania liliputana",16,"XO"
"Mantodea","Mantidae","Hierodula","Hierodula coarctata",28,"XXY"
"Mantodea","Mantidae","Hierodula","Hierodula patellifera",28,"XXY"
"Mantodea","Mantidae","Hierodula","Hierodula sp.",28,"XXY"
"Mantodea","Mantidae","Hierodula","Hierodula tenuidentata",28,"XXY"
"Mantodea","Mantidae","Hierodula","Hierodula venosa",28,"XXY"
"Mantodea","Mantidae","Hierodula","Hierodula ventralis",28,"XXY"
"Mantodea","Mantidae","Holaptilon","Holaptilon pusillulurn",30,"XO"
"Mantodea","Mantidae","Hoplocorypha","Hoplocorypha macra",36,"XO"
"Mantodea","Mantidae","Hoplocorypha","Hoplocorypha sp.",28,"XO"
"Mantodea","Mantidae","Ima","Ima fusca",34,"XY"
"Mantodea","Mantidae","Iris","Iris aratoria",26,"XO"
"Mantodea","Mantidae","Kongobatha","Kongobatha diadernata",30,"XO"
"Mantodea","Mantidae","Leptomantis","Leptomantis parva",40,"XO"
"Mantodea","Mantidae","Ligaria","Ligaria quadripunctata",24,"XO"
"Mantodea","Mantidae","Liturgusa","Liturgusa actuosa",24,"XO"
"Mantodea","Mantidae","Liturgusa","Liturgusa cursor",34,"XO"
"Mantodea","Mantidae","Liturgusa","Liturgusa maya",18,"XO"
"Mantodea","Mantidae","Liturgusa","Liturgusa sp.",22,"XO"
"Mantodea","Mantidae","mantidae sp","mantidae sp",30,"XO"
"Mantodea","Mantidae","Mantis","Mantis octospilota",28,"XXY"
"Mantodea","Mantidae","Mantis","Mantis religiosa",28,"XXY"
"Mantodea","Mantidae","Melliera","Melliera brevipes",28,"XXY"
"Mantodea","Mantidae","Miomantis","Miomantis sp.",16,"XO"
"Mantodea","Mantidae","Nullabora","Nullabora flavoguttata",28,"complex XY"
"Mantodea","Mantidae","Oligonyx","Oligonyx dohrnianus",30,"XO"
"Mantodea","Mantidae","Orthodera","Orthodera gunnii",26,"XXY"
"Mantodea","Mantidae","Orthodera","Orthodera ministralis",26,"XXY"
"Mantodea","Mantidae","Orthoderina","Orthoderina straminea",26,"XXY"
"Mantodea","Mantidae","Oxyopsis","Oxyopsis rubicunda",28,"XXY"
"Mantodea","Mantidae","Paratenodera","Paratenodera sinensis",28,"XXY"
"Mantodea","Mantidae","Parathespis","Parathespis humbertiana",32,"XO"
"Mantodea","Mantidae","Phyllovates","Phyllovates tripunctata",28,"XXY"
"Mantodea","Mantidae","Polyspilota","Polyspilota aeruginosa",28,"XXY"
"Mantodea","Mantidae","Polyspilota","Polyspilota sp.",28,"XXY"
"Mantodea","Mantidae","Promiopteryx","Promiopteryx granadensis",20,"XO"
"Mantodea","Mantidae","Pseudomiopteryx","Pseudomiopteryx infuscata",18,"XO"
"Mantodea","Mantidae","Rhodamantis","Rhodamantis pulchella",28,"XXY"
"Mantodea","Mantidae","Rhodamantis","Rhodamantis sp3'",28,"XXY"
"Mantodea","Mantidae","Schizocephala","Schizocephala bicornis",30,"XO"
"Mantodea","Mantidae","Sphodromantis","Sphodromantis gastrica",28,"XXY"
"Mantodea","Mantidae","Sphodropoda","Sphodropoda sp4",28,"XXY"
"Mantodea","Mantidae","Sphodropoda","Sphodropoda tristis",28,"XXY"
"Mantodea","Mantidae","Sphodrornantis","Sphodrornantis viridis",24,"XXY"
"Mantodea","Mantidae","Statilia","Statilia maculata",28,"XXY"
"Mantodea","Mantidae","Tenodera","Tenodera aridifolia",28,"XXY"
"Mantodea","Mantidae","Tenodera","Tenodera australasiae",28,"XXY"
"Mantodea","Mantidae","Tenodera","Tenodera superstitiosa",28,"XXY"
"Mantodea","Mantidae","Thesprotia","Thesprotia filum",30,"XO"
"Mantodea","Mantidae","Thesprotia","Thesprotia graminis",30,"XO"
"Mantodea","Mantidae","Toxomantis","Toxomantis sinensis",28,"XO"
"Mantodea","Mantidae","Vates","Vates pectinicornis",28,"XXY"
"Mantodea","Mantoididae","Mantoida","Mantoida schraderi",38,"XO"
"Phasmatodea","Phasmidae","Acrophylla","Acrophylla titan",36,"XO"
"Phasmatodea","Phasmidae","Aplopus","Aplopus mayeri",36,"XO"
"Phasmatodea","Phasmidae","Baculum","Baculum artemis",72,""
"Phasmatodea","Phasmidae","Bostra","Bostra sp.",36,"XO"
"Phasmatodea","Phasmidae","Carausius","Carausius furcillatus",NA,""
"Phasmatodea","Phasmidae","Carausius","Carausius furcillatus",NA,""
"Phasmatodea","Phasmidae","Carausius","Carausius juvenilis",42,"XO"
"Phasmatodea","Phasmidae","Carausius","Carausius morosus",NA,""
"Phasmatodea","Phasmidae","Carausius","Carausius rotundatolobatus",22,"XO"
"Phasmatodea","Phasmidae","Carausius","Carausius sp.",42,"XO"
"Phasmatodea","Phasmidae","Carausius","Carausius theiseni",NA,""
"Phasmatodea","Phasmidae","Carnacia","Carnacia telesphorus",44,"XO"
"Phasmatodea","Phasmidae","Clitumnus","Clitumnus extradentatus",38,"XO"
"Phasmatodea","Phasmidae","Clonistria","Clonistria exornata",34,"XO"
"Phasmatodea","Phasmidae","Ctenomorpha","Ctenomorpha chronus",30,"XY"
"Phasmatodea","Phasmidae","Ctenomorpha","Ctenomorpha chronus",32,"XY"
"Phasmatodea","Phasmidae","Ctenomorphodes","Ctenomorphodes sp.2",40,""
"Phasmatodea","Phasmidae","Ctenomorphodes","Ctenomorphodes tessulatus",38,"XO"
"Phasmatodea","Phasmidae","Didymuria","Didymuria violescens",27,"XY"
"Phasmatodea","Phasmidae","Didymuria","Didymuria violescens",29,"XY"
"Phasmatodea","Phasmidae","Didymuria","Didymuria violescens",29,"XY"
"Phasmatodea","Phasmidae","Didymuria","Didymuria violescens",31,"XY"
"Phasmatodea","Phasmidae","Didymuria","Didymuria violescens",32,"XO"
"Phasmatodea","Phasmidae","Didymuria","Didymuria violescens",33,"XY"
"Phasmatodea","Phasmidae","Didymuria","Didymuria violescens",33,"XY"
"Phasmatodea","Phasmidae","Didymuria","Didymuria violescens",36,"XO"
"Phasmatodea","Phasmidae","Didymuria","Didymuria violescens",38,"XO"
