"Order","Family","Genus","Species","femalediploidnumber","sexchromosome"
"Orthoptera","Acrididae","Dichroplus","Dichroplus paraguayensis",20,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus patruelis",22,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus piceomaculatus",22,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus porteri",22,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus pratensis",20,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus pseudopunctulatus",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus punctulatus",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus robustulus",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus robustus",22,"XXY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus schulzi",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus silveiraguidoi",8,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus sp. 11",24,"XO"
"Orthoptera","Acrididae","Dichroplus","Dichroplus sp. 12",20,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus sp. 13",20,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus sp. 14",22,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus sp. 15",20,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus sp. 16",22,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus vittatus",20,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus vittatus.2",18,"XY"
"Orthoptera","Acrididae","Dichroplus","Dichroplus vittigerum",18,"XY"
"Orthoptera","Acrididae","Eucephalacris","Eucephalacris borellii",24,"XO"
"Orthoptera","Acrididae","Eujivarus","Eujivarus fusiformis",22,"XO"
"Orthoptera","Acrididae","Eujivarus","Eujivarus sp. A",22,"XO"
"Orthoptera","Acrididae","Eujivarus","Eujivarus sp. B",22,"XO"
"Orthoptera","Acrididae","Eujivarus","Eujivarus sp. C",22,"XO"
"Orthoptera","Acrididae","Eujivarus","Eujivarus vittatus",24,"XO"
"Orthoptera","Acrididae","Eulampiacris","Eulampiacris leucoptera",24,"XO"
"Orthoptera","Acrididae","Euplectrotettix","Euplectrotettix sp. 1",24,"XO"
"Orthoptera","Acrididae","Euplectrotettix","Euplectrotettix sp. 2",24,"XO"
"Orthoptera","Acrididae","Euplectrotettix","Euplectrotettix sp. 3",24,"XO"
"Orthoptera","Acrididae","Eurotettix","Eurotettix lilloanus",22,"XXY"
"Orthoptera","Acrididae","Eurotettix","Eurotettix minor",22,"XY"
"Orthoptera","Acrididae","Eurotettix","Eurotettix schrottkyi",22,"XXY"
"Orthoptera","Acrididae","Eurotettix","Eurotettix sp. 1",22,"XXY"
"Orthoptera","Acrididae","Eurotettix","Eurotettix sp. 2",22,"XXY"
"Orthoptera","Acrididae","Eusitalces","Eusitalces sp. A",24,"XO"
"Orthoptera","Acrididae","Eusitalces","Eusitalces vulneratus",24,"XO"
"Orthoptera","Acrididae","Eutryxalis","Eutryxalis sp.",24,"XO"
"Orthoptera","Acrididae","Fenestra","Fenestra bohlsii",24,"XO"
"Orthoptera","Acrididae","Haroldgrantia","Haroldgrantia lignosa",24,"XO"
"Orthoptera","Acrididae","Hyalopteryx","Hyalopteryx rufipennis",24,"XO"
"Orthoptera","Acrididae","Isonyx","Isonyx paragauyensis",24,"XO"
"Orthoptera","Acrididae","Isonyx","Isonyx sp. 1",24,"XO"
"Orthoptera","Acrididae","Jodacris","Jodacris chapadensis",20,"XO"
"Orthoptera","Acrididae","Jodacris","Jodacris ferrugineus",20,"XO"
"Orthoptera","Acrididae","Jodacris","Jodacris furcillata",20,"XO"
"Orthoptera","Acrididae","Lamiacris","Lamiacris migroguttata",24,"XO"
"Orthoptera","Acrididae","Laplatacris","Laplatacris dispar",24,"XO"
"Orthoptera","Acrididae","Laplatacris","Laplatacris sp. 1",24,"XO"
"Orthoptera","Acrididae","Leiotettix","Leiotettix flavipes",22,"XY"
"Orthoptera","Acrididae","Leiotettix","Leiotettix politus.2",14,"XXY"
"Orthoptera","Acrididae","Leiotettix","Leiotettix pulcher",22,"XY"
"Orthoptera","Acrididae","Leiotettix","Leiotettix sanguineus",24,"XO"
"Orthoptera","Acrididae","Leiotettix","Leiotettix sp. 1",16,"XXY"
"Orthoptera","Acrididae","Leiotettix","Leiotettix sp. 2",18,"XY"
"Orthoptera","Acrididae","Leiotettix","Leiotettix sp. 3",24,"XO"
"Orthoptera","Acrididae","Leiotettix","Leiotettix viridis",24,"XO"
"Orthoptera","Acrididae","Leptysma","Leptysma dorsalis",24,"XO"
"Orthoptera","Acrididae","Leptysmina","Leptysmina pallida",24,"XO"
"Orthoptera","Acrididae","Leptysmina","Leptysmina sp. 1",24,"XO"
"Orthoptera","Acrididae","Machaeropeles","Machaeropeles rostratum",24,"XO"
"Orthoptera","Acrididae","Mastusia","Mastusia quadricarinata",24,"XO"
"Orthoptera","Acrididae","Meloscirtus","Meloscirtus montanus",24,"XO"
