order,family,genus,species,sex.system,SCS,scs.notes,fem.2n,mal.2n,cite.key
Orthoptera,Tristiridae,Tropidostethus,Tropidostethus_sp,,XO,,22,21,mesa1982cariologia
Orthoptera,Romaleidae,Xyleus,Xyleus_modestus,,XO,,24,23,mesa1982cariologia
Orthoptera,Romaleidae,Xyleus,Xyleus_laevipes,,XY,,22,22,mesa1982cariologia
Blattodea,Blaberidae,Rhabdoblatta,Rhabdoblatta_sp,,XO,,50,49,white1976blattodea
Blattodea,Blattellidae,Supella,Supella_longipalpa,,XO,,20,19,white1976blattodea
Orthoptera,Romaleidae,Xyleus,Xyleus_insignis,,XO,,24,23,mesa1982cariologia
Blattodea,Blattellidae,Symploce,Symploce_sp,,XO,,28,27,white1976blattodea
Blattodea,Blattellidae,Symplocodes,Symplocodes_sp,,XO,,40,39,white1976blattodea
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_hempeli,,XO,,24,23,mesa1982cariologia
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_tarsata,,XO,,24,23,mesa1982cariologia
Orthoptera,Romaleidae,Zoniopoda,Zoniopoda_omnicolor,,XO,,24,23,mesa1982cariologia
Blattodea,Blattellidae,Xestoblatta,Xestoblatta_sp,,XO,,38,37,white1976blattodea
