Order,Family,Genus,species,female2n,male2n,B chromosomes,sex.chromosome.system,"notes, comments",Source,Study,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Damaliscus,pygargus phillipsi,38,38,,XY,,Blackmon,Kumamoto et al. 1996,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Beatragus,hunteri,44,44,,XY,,Animal Karyotype Book,Kumamoto et al. 1996,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Damaliscus,lunatus topi,36,36,,XY,,Animal Karyotype Book,Kumamoto et al. 1996,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Gazella,bennettii,49-52,49-52,,XY,,Animal Karyotype Book,Kumamoto et al. 1995,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Gazella,cuvieri,32,33,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Nanger,dama mhorr,38-40,38-40,,complex XY,rujuvenation of autosomes to sex chromosomes,Animal Karyotype Book,Cernohorska et al. 2012,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Nanger,dama ruficollis,38-40,38-40,,complex XY,rujuvenation of autosomes to sex chromosomes,Animal Karyotype Book,Cernohorska et al. 2012,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Gazella,dorcas,30,31,,complex XY,XY1Y2,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Gazella,gazella,34,35,,complex XY,XY1Y2,Blackmon,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Nanger,granti,30,31,,complex XY,XY1Y2,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Nanger,granti roosevelti,30,31,,complex XY,"X/A, Y; rujuvenation of autosome to X-chromosome",Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Gazella,leptoceros,32,33,,complex XY,XY1Y2,Blackmon,Cernohorska et al. 2012,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Eudorcas,rufifrons laevipes,58,58,,XY,rujuvenation of autosome to sex chromosomes,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Gazella,saudiya,46-53,46-53,,XY,,Animal Karyotype Book,Kumamoto et al. 1995,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Nanger,soemmerringii,34-39,34-39,,complex XY,rujuvenation of autosomes to sex chromosomes,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Gazella,spekei,32,33,,complex XY,XY1Y2,Blackmon,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Gazella,subgutturosa,30,31,,complex XY,XY1Y2,Blackmon,,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Gazella,subgutturosa marica,30-32,31-33,,complex XY,,Animal Karyotype Book,Kingswoo and Blank 1996,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Gazella,subgutturosa subgutturosa,32,31,,complex XY,"X/A, X/A/Y",Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Eudorcas,thomsonii,58,58,,XY,rujuvenation of autosome to sex chromosomes,Blackmon,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Hemitragus,jemlahicus,48,48,,XY,,Blackmon,Rubes et al. 2012,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Hippotragus,equinus,60,60,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Hippotragus ,niger,60,60,,XY,,Blackmon,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Artiodactyla,Bovidae,Kobus,ellipsiprymnus defassa,53-54,53-54,,XY,,Animal Karyotype Book,Kingswood et al. 1998a,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Kobus,ellipsiprymnus ellipsiprymnus,50-52,50-52,,XY,,Animal Karyotype Book,Kingswood et al. 1998a,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Kobus,kob thomasi,50,50,,XY,,Animal Karyotype Book,Kingswood et al. 2000,,,,,,,,,,,,,,
Artiodactyla,Bovidae,Kobus,leche,48,48,,XY,,Animal Karyotype Book,Kingswood et al. 2000,,,,,,,,,,,,,,
