Order,Family,Genus,species,female2n,male2n,B chromosomes,sex.chromosome.system,"notes, comments",Source,Study,,,,,,,,,,,,,,
Chiroptera,Emballonuridae,Taphozous,nudiventris,42,42,,XY,,Animal Karyotype Book,Sreepada et al. 1995,,,,,,,,,,,,,,
Chiroptera,Emballonuridae,Saccolaimus,saccolaimus,44,44,,XY,,Animal Karyotype Book,Sreepada et al. 1995,,,,,,,,,,,,,,
Chiroptera,Emballonuridae,Cormura,brevirostris,22,22,,XY,,Animal Karyotype Book 2020,Araujo et al. 2016,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,ater,32,32,,XY,,Animal Karyotype Book,Sreepada et al. 1993,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,cineraceus,32,32,,XY,,Animal Karyotype Book,Sreepada et al. 1993,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,fulvus,32,32,,XY,,Animal Karyotype Book,Sreepada et al. 1993,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,fulvus pallidus,32,32,,XY,,Animal Karyotype Book,Choudhury and Patro 1993,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,lankadiva,32,32,,XY,,Animal Karyotype Book,Sreepada et al. 1993,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,pomona,32,32,,XY,,Animal Karyotype Book,Sreepada et al. 1993,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,speoris,32,32,,XY,,Animal Karyotype Book,Sreepada et al. 1993,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Aselliscus,stoliczkanus,30,30,,XY,,Animal Karyotype Book 2020,Ao et al. 2007,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,larvatus,32,32,,XY,,Animal Karyotype Book 2020,Volleth et al. 2002,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,pratti,32,32,,XY,,Animal Karyotype Book 2020,Mao et al. 2010,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,pomona,32,32,,XY,,Animal Karyotype Book 2020,Mao et al. 2010,,,,,,,,,,,,,,
Chiroptera,Hipposideridae,Hipposideros,armiger,32,32,,XY,,Animal Karyotype Book 2020,Mao et al. 2010,,,,,,,,,,,,,,
Chiroptera,Megadermatidae,Megaderma,lyra,54,54,,XY,,Animal Karyotype Book,Choudhury and Mohanty 1993,,,,,,,,,,,,,,
Chiroptera,Megadermatidae,Megaderma,spasma,38,38,,XY,,Animal Karyotype Book,Morielle-Versute et al. 1992,,,,,,,,,,,,,,
Chiroptera,Molossidae,Eumops,glaucinus,40,40,,XY,,Animal Karyotype Book,Morielle-Versute et al. 1996,,,,,,,,,,,,,,
Chiroptera,Molossidae,Eumops,perotis,48,48,,XY,,Animal Karyotype Book,Morielle-Versute et al. 1996,,,,,,,,,,,,,,
Chiroptera,Molossidae,Cynomops,abrasus,34,34,,XY,,Animal Karyotype Book,Morielle-Versute et al. 1996,,,,,,,,,,,,,,
Chiroptera,Molossidae,Molossops,temminckii,48,48,,XY,,Animal Karyotype Book,Morielle-Versute et al. 1996,,,,,,,,,,,,,,
Chiroptera,Molossidae,Molossus,molossus,48,48,,XY,,Animal Karyotype Book,Morielle-Versute et al. 1996,,,,,,,,,,,,,,
Chiroptera,Molossidae,Molossus,rufus,48,48,,XY,,Animal Karyotype Book,Morielle-Versute et al. 1996,,,,,,,,,,,,,,
Chiroptera,Molossidae,Nyctinomops,laticaudatus,48,48,,XY,,Animal Karyotype Book,Morielle-Versute et al. 1996,,,,,,,,,,,,,,
Chiroptera,Molossidae,Tadarida,brasiliensis,48,48,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Molossidae,Tadarida,teniotis,48,48,,XY,,Animal Karyotype Book 2020,Mao et al. 2008,,,,,,,,,,,,,,
Chiroptera,Molossidae,Chaerephon,plicatus,48,48,,XY,,Animal Karyotype Book 2020,Mao et al. 2007b,,,,,,,,,,,,,,
Chiroptera,Mormoopidae,Mormoops,blainvillii,38,38,,XY,,Animal Karyotype Book,Sites et al. 1981,,,,,,,,,,,,,,
Chiroptera,Mormoopidae,Pteronotus,gymnonotus,38,38,,XY,,Animal Karyotype Book,Sites et al. 1981,,,,,,,,,,,,,,
Chiroptera,Mormoopidae,Pteronotus,macleayii,38,38,,XY,,Animal Karyotype Book,Sites et al. 1981,,,,,,,,,,,,,,
Chiroptera,Mormoopidae,Pteronotus,parnellii,38,38,,XY,,Blackmon,Sites et al. 1981,,,,,,,,,,,,,,
Chiroptera,Mormoopidae,Pteronotus,personatus,38,38,,XY,,Animal Karyotype Book,Sites et al. 1981,,,,,,,,,,,,,,
Chiroptera,Mystacinidae,Mystacina,tuberculata,36,36,,XY,,Animal Karyotype Book,Bickham et al. 1980,,,,,,,,,,,,,,
Chiroptera,Natalidae,Natalus,major,36,36,,XY,,Animal Karyotype Book,Hoyt and Baker 1980,,,,,,,,,,,,,,
Chiroptera,Natalidae,Natalus,tumidirostris,36,36,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Noctilionidae,Noctilio ,albiventris,34,34,,XY,,Blackmon,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Ametrida,centurio,31,32,,complex XY,XY1Y2,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Anoura,caudifer,30,30,,XY,,Animal Karyotype Book,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Anoura,cultrata,30,30,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Ardops,nichollsi,30,31,,complex XY,XY1Y2,Animal Karyotype Book 2020,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Ariteus,flavescens,30,31,,complex XY,XY1Y2,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Artibeus,jamaicensis,30,31,,complex XY,XY1Y2,Blackmon,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Artibeus,jamaicensis,28,28,,complex XY,XY1Y2,Animal Karyotype Book 2020,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Artibeus,lituratus,30,31,,complex XY,XY1Y2,Blackmon,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Ardops,nichollsi,31,32,,complex XY,XY1Y2,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Artibeus,toltecus,30,31,,complex XY,XY1Y2,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Artibeus,obscurus,30,31,,complex XY,XY1Y2,Animal Karyotype Book 2020,Pieczarka et al. 2013,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Carollia,brevicauda,20,21,,complex XY,XY1Y2,Animal Karyotype Book,Stock 1975,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Carollia,castanea,22,22,,XY,,Animal Karyotype Book,Stock 1975,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Carollia,castanea,20,20,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Carollia,perspicillata,20,21,,complex XY,XY1Y2,Blackmon,Teeling and Stanyon (Unpublished),,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Carollia,subrufa,20,21,,complex XY,XY1Y2,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Chiroderma,doriae,26,26,,XY,,Animal Karyotype Book,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Chiroderma,improvisum,26,26,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Chiroderma,villosum,26,26,,XY,,Blackmon,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Choeroniscus,godmani,20,19,,complex XY,X1X2Y,Blackmon,Hsu et al. 1968,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Choeroniscus,minor,20,20,,XY,,Animal Karyotype Book 2020,Das Neves et al. 2001,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Choeronycteris,mexicana,16,16,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Chrotopterus,auritus,28,28,,XY,,Animal Karyotype Book,Morielle-Versute et al. 1992,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Desmodus,rotundus ,28,28,,XY,,Animal Karyotype Book,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Desmodus,rotundus murius,28,28,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Diaemus,youngi,32,32,,XY,,Animal Karyotype Book,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Diphylla,ecaudata,32,32,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Ectophylla,alba,30,30,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Artibeus,hartii,31,32,,complex XY,XY1Y2,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Erophylla,sezekorni,32,32,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Glossophaga,soricina,32,32,,XY,,Blackmon,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Hylonycteris,underwoodi,16,16,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Lichonycteris,obscura,24,24,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Lionycteris,spurrelli,28,28,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Lophostoma,silvicolum,34,34,,XY,,Animal Karyotype Book 2020,Ribas et al. 2015,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Lophostoma,silvicolum occidentalis,34,34,,XY,,Animal Karyotype Book 2020,Sotero-Caio et al. 2015,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Lonchorhina,aurita,32,32,,XY,,Animal Karyotype Book 2020,Barros et al. 2009,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Lichonycteris,obscura,24,24,,XY,,Animal Karyotype Book 2020,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Lonchophylla,robusta,28,28,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Hsunycteris,thomasi,30,30,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Lonchophylla,concava,28,28,,XY,,Animal Karyotype Book 2020,Sotero-Caio et al. 2013,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Macrotus,waterhousii,46,46,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Macrotus,californicus,40,40,,XY,,Animal Karyotype Book 2020,Sotero-Caio et al. 2013,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Mesophylla,macconnelli,22,21,,complex XY,X1X2Y,Blackmon,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Micronycteris,brachyotis,32,32,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Micronycteris,hirsuta,30,30,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Micronycteris,megalotis,40,40,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Micronycteris,minuta,28,28,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Micronycteris,nicefori,28,28,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Micronycteris,schmidtorum,38,38,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Micronycteris,hirsuta,26,26,,XY,,Animal Karyotype Book 2020,Ribas et al. 2013,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Gardnerycteris,crenulatum,32,32,,XY,,Blackmon,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Monophyllus,redmani,32,32,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Phylloderma,stenops,32,32,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Phyllonycteris,poeyi,32,32,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Phyllops,haitiensis,31,32,,complex XY,XY1Y2,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Phyllostomus,discolor,32,32,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Phyllostomus,hastatus,30,30,,XY,,Animal Karyotype Book,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Phyllostomus,hastatus,32,32,,XY,,Animal Karyotype Book 2020,Pieczarka et al. 2005,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Platyrrhinus,vittatus,30,30,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Platyrrhinus,vittatus lineatus,30,30,,XY,,Animal Karyotype Book,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Platyrrhinus,lineatus,30,30,,XY,,Animal Karyotype Book 2020,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Platyrrhinus,helleri incarum,30,30,,XY,,Animal Karyotype Book 2020,Gomes et al. 2016,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Rhinophylla,fischerae,34,34,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Rhinophylla,pumilio,36,36,,XY,,Blackmon,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Rhinophylla,pumilio,34,34,,XY,,Animal Karyotype Book 2020,Gomes et al. 2012,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Rhinophylla,fischerae,38,38,,XY,,Animal Karyotype Book 2020,Gomes et al. 2010,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Sphaeronycteris,toxophyllum,28,28,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Sturnira,lilium,30,30,,XY,,Blackmon,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Sturnira,erythromos,30,30,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Sturnira,mordax,30,30,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Tonatia,bidens,16,16,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Tonatia,saurophila,16,16,,XY,,Animal Karyotype Book 2020,Sotero-Caio et al. 2017,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Trachops,cirrhosus,30,30,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Uroderma,bilobatum,44,44,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Uroderma,magnirostrum,38,38,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Uroderma ,magnirostrum,36,36,,XY,,Blackmon,Pieczarka et al. 2013,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Vampyressa,brocki,24,24,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Vampyressa,nymphaea,26,26,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Vampyressa,pusilla,18,18,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Vampyressa,thyone,24,24,,complex XY,,Animal Karyotype Book 2020,Gomes et al. 2016,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Vampyressa,bidens,26,26,,XY,,Animal Karyotype Book 2020,Gomes et al. 2016,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Vampyrodes,caraccioli,30,30,,XY,,Animal Karyotype Book 2020,Pieczarka et al. 2013,,,,,,,,,,,,,,
Chiroptera,Phyllostomidae,Vampyrum,spectrum,30,30,,XY,,Animal Karyotype Book,Baker et al. 1979,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Alionycteris,paucidentata,36,36,,XY,,Animal Karyotype Book,Rickart et al. 1999,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Casinycteris,ophiodon,34,34,,XY,,Animal Karyotype Book,Haiduk et al. 1981,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Eonycteris,robusta,36,36,,XY,,Animal Karyotype Book,Rickart et al. 1999,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Epomops,franqueti,36,36,,XY,,Animal Karyotype Book,Haiduk et al. 1981,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Hypsignathus,monstrosus,36,36,,XY,,Animal Karyotype Book,Haiduk et al. 1981,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Megaloglossus,woermanni,36,36,,XY,,Animal Karyotype Book,Haiduk et al. 1981,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Micropteropus,pusillus,35,35,,complex XY,,Animal Karyotype Book,Haiduk et al. 1981,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Myonycteris ,torquata,36,36,,XY,,Animal Karyotype Book,Haiduk et al. 1981,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Otopteropus,cartilagonodus,48,48,,XY,,Animal Karyotype Book,Rickart et al. 1999,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Pteropus ,giganteus,38,38,,XY,,Blackmon,Choudhury and Jena 1995,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Pteropus ,lylei,40,40,,XY,,Animal Karyotype Book,Hood et al. 1988,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Pteropus ,rodricensis,38,38,,XY,,Animal Karyotype Book,CRES San Diego (Unpublished),,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Rousettus ,aegyptiacus,36,36,,XY,,Animal Karyotype Book,Haiduk et al. 1981,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Lissonycteris,angolensis,36,36,,XY,,Animal Karyotype Book,Haiduk et al. 1981,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Rousettus ,lanosus,36,36,,XY,,Animal Karyotype Book,Teeling and Stanyon (Unpublished),,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Rousettus ,leschenaulti,36,36,,XY,,Blackmon,Sreeepada and Gururaj 1995,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Cynopterus,sphinx,34,34,,XY,,Animal Karyotype Book 2020,Ao et al. 2007,,,,,,,,,,,,,,
Chiroptera,Pteropodidae,Eidolon,helvum,34,34,,XY,,Animal Karyotype Book 2020,Houck (Unpublished),,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,ferrumequinum,56,56,,XY,,Animal Karyotype Book,Teeling and Stanyon (Unpublished),,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,rouxii ,56,56,,XY,,Animal Karyotype Book,Zima et al. 1992,,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,ferrumequinum tragatus,56,56,,XY,,Animal Karyotype Book 2020,Mao et al. 2007a,,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,pusillus,62,62,,XY,,Animal Karyotype Book 2020,Mao et al. 2007a,,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,pearsonii,44,44,,XY,,Animal Karyotype Book 2020,Mao et al. 2007a,,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,sinicus,36,36,,XY,,Animal Karyotype Book 2020,Mao et al. 2007a,,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,formosae,52,52,,XY,,Animal Karyotype Book 2020,Volleth et al. 2017,,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,hipposideros,56,56,,XY,,Animal Karyotype Book 2020,Volleth et al. 2013,,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,luctoides,32,32,,XY,,Animal Karyotype Book 2020,Volleth et al. 2015,,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,morio,28,28,,complex XY,X1X2Y1Y2,Animal Karyotype Book 2020,Volleth et al. 2015,,,,,,,,,,,,,,
Chiroptera,Rhinolophidae,Rhinolophus,sedulus,30,30,,XY,,Animal Karyotype Book 2020,Volleth et al. 2014,,,,,,,,,,,,,,
Chiroptera,Rhinopomatidae,Rhinopoma,hardwickii,36,36,,XY,,Animal Karyotype Book,Qumsiyeh 1988,,,,,,,,,,,,,,
Chiroptera,Rhinopomatidae,Rhinopoma,microphyllum,42,42,,XY,,Animal Karyotype Book,Qumsiyeh 1988,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Antrozous,pallidus,46,46,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Chalinolobus,morio,44,44,,XY,,Animal Karyotype Book,Volleth and Tidemann 1989,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Corynorhinus,townsendii,32,32,,XY,,Animal Karyotype Book,Stock 1983,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,bottae,50,50,,XY,,Animal Karyotype Book,Volleth et al. 2001,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Eptesicus,fuscus,50,50,,XY,,Blackmon,Teeling and Stanyon (Unpublished),,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Euderma,maculatum,30,30,,XY,,Animal Karyotype Book,Stock 1983,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Glauconycteris,beatrix,22,22,,XY,,Animal Karyotype Book 2020,Volleth and Heller 2007,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Hesperoptenus,blandfordi,32,32,,XY,,Animal Karyotype Book,Volleth et al. 2001,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Idionycteris,phyllotis,30,30,,XY,,Animal Karyotype Book,Stock 1983,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Lasiurus,borealis,28,28,,XY,,Animal Karyotype Book,Varella-Garcia et al. 1989,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Lasiurus,seminolus,28,28,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Dasypterus,intermedius,26,26,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Miniopteridae,Miniopterus,fuliginosus,46,46,,XY,,Animal Karyotype Book 2020,Ao et al.2006,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Murina,cyclotis,44,44,,XY,,Animal Karyotype Book,Rickart et al. 1999,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Murina,hilgendorfi,44,44,,XY,,Animal Karyotype Book 2020,Kulemzina et al. 2011b,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Myotis,grisescens,44,44,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Myotis,keenii,44,44,,XY,,Animal Karyotype Book,Bickham 1979,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Myotis,macrodactylus,44,44,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Myotis,mystacinus,44,44,,XY,,Animal Karyotype Book,Bickham 1979,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Myotis,nigricans,44,44,,XY,,Animal Karyotype Book,Bickham 1979,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Myotis,sodalis,44,44,,XY,,Animal Karyotype Book,Bickham 1979,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Myotis,thysanodes,44,44,,XY,,Animal Karyotype Book,Bickham 1979,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Myotis,velifer,44,44,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Myotis,altarium,44,44,,XY,,Animal Karyotype Book 2020,Ao et al.2006,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Myotis,dasycneme,44,44,,XY,,Animal Karyotype Book 2020,Kulemzina et al. 2011b,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Nyctalus,velutinus,36,36,,XY,,Animal Karyotype Book 2020,Ao et al.2006,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Nycticeius,humeralis,46,46,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Nyctophilus,gouldi,44,44,,XY,,Animal Karyotype Book,Volleth and Tidemann 1989,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Phoniscus,atrox,40,40,,XY,,Animal Karyotype Book 2020,Volleth 2006,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Falsistrellus,affinis,36,36,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Perimyotis,subflavus,30,30,,XY,,Blackmon,,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Pipistrellus ,ceylonicus,36,36,,XY,,Animal Karyotype Book,Sreepada et al. 1996,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Pipistrellus ,coromandra,30,30,,XY,,Animal Karyotype Book,Sreepada et al. 1996,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Parahypsugo,crassulus,30,30,,XY,,Animal Karyotype Book,Volleth et al. 2001,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Parahypsugo,eisentrauti,42,42,,XY,,Animal Karyotype Book,Volleth et al. 2001,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Pipistrellus ,javanicus,34,34,,XY,,Animal Karyotype Book,Volleth et al. 2001,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Pipistrellus ,kuhlii ,42,42,,XY,,Animal Karyotype Book,Volleth et al. 2001,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Pipistrellus ,mimus,38,38,,XY,,Blackmon,Volleth et al. 2001,,,,,,,,,,,,,,
Chiroptera,Vespertilionidae,Pipistrellus ,pipistrellus,44,44,,XY,,Animal Karyotype Book,Volleth 1987,,,,,,,,,,,,,,
